|name   |alt_name  |ra         |dec        |vmag |multiple|class                                              |bii      |lii      |parallax|
|HR 3762|          |09 29 32.40|-04 14 49.9| 6.26|        |                                          STAR G6IV|32.07860 |237.72500|        |
|HR 3899|6    Sex  |09 51 13.99|-04 14 35.9| 6.01|        |                                         STAR A8III|36.39100 |241.67600|        |
|HR 2648|19    Mon |07 02 54.79|-04 14 21.1| 4.99|        |                                           STAR B1V|0.61400  |218.01200|        |
|HR 2701|20    Mon |07 10 13.70|-04 14 13.9| 4.92|W       |                                         STAR K0III|2.23500  |218.84800|0.030   |
|HR 8610|63Kap Aqr |22 37 45.41|-04 13 41.2| 5.03|W       |                                         STAR K2III|-50.75310|62.68170 |0.019   |
|HR 4896|          |12 53 38.11|-04 13 26.0| 6.44|        |                                            STAR K0|58.64340 |303.98500|        |
|HR 6318|30    Oph |17 01 03.60|-04 13 21.0| 4.82|W       |                                         STAR K4III|22.18260 |15.57950 |0.015   |
|HR 6041|          |16 12 56.50|-04 13 14.9| 6.25|        |                                           STAR A1V|32.17370 |8.09620  |        |
|HR 1625|          |05 02 45.50|-04 12 34.9| 5.85|        |                                            STAR K3|-26.02550|203.81900|        |
|HR 2154|          |06 06 38.69|-04 11 38.0| 5.38|        |                                          STAR B5IV|-11.87180|211.57200|        |
|HR 2927|25    Mon |07 37 16.70|-04 06 40.0| 5.13|W       |                                         STAR F6III|8.26110  |221.89400|0.028   |
|HR 611 |          |02 03 40.51|-04 06 13.0| 5.62|        |                                           STAR K5I|-61.23550|162.91500|        |
|HR 2007|          |05 48 34.90|-04 05 40.9| 5.97|        |                                           STAR G4V|-15.84200|209.37800|        |
|HR 8931|          |23 31 31.51|-04 05 13.9| 6.49|        |                                           STAR F8V|-60.08930|79.81930 |0.041   |
|HR 6686|          |17 56 47.71|-04 04 54.8| 5.47|        |                                               STAR|10.20670 |22.93960 |        |
|HR 7681|          |20 06 12.19|-04 04 41.9| 6.47|        |                                            STAR K0|-18.47680|37.91970 |        |
|HR 4082|25    Sex |10 23 26.50|-04 04 27.1| 5.97|        |                                            STAR B9|42.57790 |248.32400|        |
|HR 2058|          |05 54 34.70|-04 03 50.0| 6.57|        |                                           STAR B1V|-14.49580|210.05400|        |
|HR 7225|15    Aql |19 04 57.60|-04 01 53.0| 5.42|        |                                         STAR K1III|-4.84180 |30.87590 |0.002   |
|HR 4229|40    Sex |10 49 17.30|-04 01 27.1| 6.61|        |                                          STAR A2IV|47.10950 |254.79800|0.011   |
|HR 6813|          |18 13 10.01|-04 00 42.1| 6.59|        |                                            STAR A2|6.64210  |24.95340 |        |
|HR 3321|2    Hya  |08 26 27.19|-03 59 15.0| 5.59|W       |                                         STAR A5III|19.02130 |227.95900|0.028   |
|HR 8251|          |21 35 17.59|-03 58 59.2| 5.77|        |                                               STAR|-37.85930|50.35430 |0.001   |
|HR 117 |12    Cet |00 30 02.40|-03 57 25.9| 5.72|        |                                         STAR M0III|-66.27220|109.56800|        |
|HR 4677|          |12 18 09.10|-03 57 15.8| 6.99|        |                                           STAR F3V|57.89490 |287.16800|0.016   |
|HR 6067|          |16 16 55.30|-03 57 11.9| 6.18|        |                                           STAR A9V|31.52290 |9.03290  |        |
|HR 4678|          |12 18 09.60|-03 56 55.0| 6.54|        |                                           STAR F2V|57.90110 |287.16900|0.016   |
|HR 3314|          |08 25 39.60|-03 54 23.0| 3.90|        |                                           STAR A0V|18.89180 |227.77900|0.026   |
|HR 2731|          |07 14 10.99|-03 54 05.0| 5.75|        |                                         STAR K5III|3.26500  |219.00500|        |
|HR 8451|          |22 10 21.10|-03 53 39.1| 6.27|        |                                           STAR A1V|-45.10900|56.89690 |        |
|HR 2317|          |06 25 47.11|-03 53 21.1| 6.35|        |                                         STAR G9III|-7.47580 |213.48400|        |
|HR 6372|          |17 08 54.50|-03 52 58.1| 6.36|        |                                          STAR G5IV|20.68590 |16.98270 |        |
|HR 5875|          |15 48 56.81|-03 49 07.0| 5.53|        |                                          STAR A5IV|37.18140 |4.07960  |        |
|HR 4921|44    Vir |12 59 39.50|-03 48 42.8| 5.79|        |                                           STAR A3V|58.99620 |306.91500|        |
|HR 955 |          |03 11 18.79|-03 48 42.1| 6.05|        |                                         STAR M1III|-49.28920|184.18700|        |
|HR 3297|1    Hya  |08 24 34.99|-03 45 04.0| 5.61|        |                                           STAR F3V|18.73860 |227.49400|0.057   |
|HR 1383|42Xi  Eri |04 23 40.80|-03 44 44.2| 5.17|        |                                           STAR A2V|-34.29830|197.82500|0.013   |
|HR 4109|          |10 28 43.99|-03 44 33.0| 6.05|        |                                            STAR A1|43.76140 |249.24600|        |
|HR 2218|          |06 13 54.29|-03 44 29.0| 5.83|        |                                         STAR G8III|-10.05220|211.99500|        |
|HR 875 |          |02 56 37.39|-03 42 43.9| 5.17|        |                                           STAR A1V|-52.03760|180.35700|0.026   |
|HR 7209|14    Aql |19 02 54.50|-03 41 56.0| 5.42|W       |                                           STAR A1V|-4.23500 |30.94070 |        |
|HR 6056|1Del Oph  |16 14 20.69|-03 41 39.8| 2.74|W       |                                         STAR M0III|32.19670 |8.84270  |0.034   |
|HR 500 |          |01 42 43.49|-03 41 25.1| 4.99|        |                                          STAR K3II|-63.55280|152.75000|0.009   |
|HR 6710|57Zet Ser |18 00 28.99|-03 41 25.1| 4.62|        |                                          STAR F2IV|9.58390  |23.73360 |0.048   |
|HR 3122|27    Mon |07 59 44.09|-03 40 46.9| 4.93|        |                                         STAR K2III|13.38590 |224.23800|0.008   |
|HR 4937|48    Vir |13 03 54.41|-03 39 47.9| 6.59|        |                                           STAR F0V|59.06170 |308.99100|0.005   |
|HR 4368|74Phi Leo |11 16 39.70|-03 39 06.1| 4.47|W       |                                          STAR A7IV|51.65320 |262.66200|0.019   |
|HR 6830|          |18 15 58.01|-03 37 03.0| 6.36|        |                                           STAR A4V|6.20890  |25.63260 |        |
|HR 1462|          |04 36 01.61|-03 36 42.8| 6.33|        |                                         STAR B7III|-31.56860|199.53300|        |
|HR 7575|          |19 53 18.70|-03 06 51.8| 5.65|        |                                            STAR A5|-15.17620|37.27460 |0.003   |
|HR 142 |13    Cet |00 35 14.90|-03 35 34.1| 5.20|        |                                           STAR F8V|-66.14870|112.89900|0.060   |
|HR 6890|          |18 24 03.50|-03 34 59.9| 6.38|        |                                         STAR F6III|4.43720  |26.60540 |        |
|HR 1940|          |05 39 31.20|-03 33 52.9| 6.00|        |                                           STAR A8V|-17.61000|207.80700|        |
|HR 8014|          |20 56 18.31|-03 33 41.0| 6.57|        |                                           STAR B8V|-29.25470|44.87760 |        |
|HR 8199|21    Aqr |21 25 16.99|-03 33 24.1| 5.49|        |                                         STAR K4III|-35.50550|49.18630 |        |
|HR 9067|27    Psc |23 58 40.39|-03 33 22.0| 4.86|        |                                         STAR G9III|-63.26790|92.51160 |0.029   |
|HR 8629|          |22 40 48.00|-03 33 15.1| 6.31|W       |                                           STAR F6V|-50.90490|64.27070 |0.012   |
|HR 4891|38    Vir |12 53 11.21|-03 33 11.2| 6.11|D       |                                           STAR F5V|59.31580 |303.78700|0.042   |
|HR 5258|          |13 59 49.30|-03 32 58.9| 6.40|        |                                           STAR F8V|55.16490 |333.83900|        |
|HR 8840|          |23 15 34.30|-03 29 47.0| 5.55|        |                                           STAR A3V|-57.09260|74.66160 |        |
|HR 6016|          |16 09 50.50|-03 28 00.8| 5.37|        |                                         STAR K4III|33.24210 |8.28330  |0.008   |
|HR 1830|          |05 29 23.59|-03 26 47.0| 5.79|        |                                         STAR K1III|-19.79700|206.46400|        |
|HR 3500|14    Hya |08 49 21.70|-03 26 35.2| 5.31|        |                                            STAR B9|24.19350 |230.64000|        |
|HR 5881|32Mu  Ser |15 49 37.20|-03 25 49.1| 3.53|        |                                           STAR A0V|37.29150 |4.59280  |0.007   |
|HR 8192|20    Aqr |21 24 51.70|-03 23 53.9| 6.36|        |                                         STAR F0III|-35.33350|49.28580 |        |
|HR 771 |81    Cet |02 37 41.81|-03 23 46.0| 5.65|        |                                               STAR|-55.24990|174.48600|        |
|HR 1116|          |03 39 38.30|-03 23 35.2| 6.23|        |                                            STAR G5|-43.36930|189.82200|        |
|HR 4925|46    Vir |13 00 35.90|-03 22 07.0| 5.99|        |                                         STAR K2III|59.42310 |307.43000|        |
|HR 7821|68    Aql |20 28 24.91|-03 21 28.1| 6.13|W       |                                           STAR B9V|-23.04990|41.35520 |        |
|HR 1463|48Nu  Eri |04 36 19.10|-03 21 09.0| 3.93|W       |                                         STAR B2III|-31.37620|199.31200|        |
|HR 7101|8    Aql  |18 51 22.10|-03 19 04.1| 6.10|        |                                         STAR F2III|-1.49660 |29.97050 |        |
|HR 1826|          |05 28 56.71|-03 18 27.0| 6.39|        |                                           STAR A0V|-19.83160|206.27900|0.003   |
|HR 8363|          |21 54 35.90|-03 18 04.0| 6.20|        |                                          STAR F5IV|-41.53920|54.49170 |        |
|HR 1520|57Mu  Eri |04 45 30.10|-03 15 16.9| 4.02|        |                                          STAR B5IV|-29.33690|200.53000|        |
|HR 1900|          |05 35 35.81|-03 15 10.1| 6.40|W       |                                          STAR B3IV|-18.33520|207.04200|        |
|HR 387 |          |01 20 34.49|-03 14 48.8| 6.23|        |                                         STAR K1III|-65.12330|140.44500|        |
|HR 795 |          |02 41 48.29|-03 12 47.9| 6.05|        |                                               STAR|-54.39890|175.52900|        |
|HR 1441|          |04 32 37.39|-03 12 33.1| 5.81|W       |                                         STAR B9III|-32.10210|198.62200|        |
|HR 5342|          |14 16 30.10|-03 11 47.0| 6.15|        |                                           STAR A1V|53.38590 |340.31700|        |
|HR 6999|          |18 38 23.71|-03 11 37.0| 6.49|        |                                          STAR F9IV|1.44070  |28.60180 |0.027   |
|HR 9041|24    Psc |23 52 55.61|-03 09 20.2| 5.93|W       |                                         STAR G9III|-62.24360|90.15010 |        |
|HR 4613|          |12 05 59.81|-03 07 54.1| 6.37|        |                                               STAR|57.81550 |281.26200|        |
|HR 4240|          |10 51 05.40|-03 05 33.0| 5.95|        |                                            STAR K2|48.10370 |254.37400|        |
|HR 5895|36    Ser |15 51 15.60|-03 05 26.2| 5.11|S       |                                           STAR A3V|37.17890 |5.24580  |0.010   |
|HR 2113|          |06 00 03.41|-03 04 27.1| 4.53|        |                                         STAR K1III|-12.82830|209.78700|0.022   |
|HR 1646|          |05 04 54.50|-03 02 22.9| 6.05|        |                                          STAR B5IV|-24.99680|202.96200|        |
|HR 5599|          |15 02 44.90|-03 01 53.0| 6.61|        |                                            STAR A5|46.27800 |354.49100|        |
|HR 9087|29    Psc |00 01 49.39|-03 01 39.0| 5.10|        |                                         STAR B7III|-63.13630|94.59270 |        |
|HR 6840|          |18 16 53.11|-03 00 25.9| 6.00|        |                                         STAR G3III|6.29040  |26.28330 |0.005   |
|HR 4432|87    Leo |11 30 18.91|-03 00 13.0| 4.77|        |                                         STAR K3III|54.07390 |266.77900|0.015   |
|HR 3188|29Zet Mon |08 08 35.59|-02 59 02.0| 4.34|        |                                           STAR G2I|15.65570 |224.72200|0.003   |
|HR 2807|          |07 22 18.50|-02 58 44.0| 6.23|        |                                            STAR F5|5.48930  |219.12600|        |
|HR 681 |68Omi Cet |02 19 20.71|-02 58 39.0| 3.04|        |                                         STAR M7III|-57.98280|167.75400|0.024   |
|HR 1212|32    Eri |03 54 17.50|-02 57 16.9| 4.79|        |                                         STAR G8III|-40.09900|192.09500|0.004   |
|HR 1522|          |04 46 24.10|-02 57 15.8| 6.33|        |                                           STAR A2V|-28.99350|200.35700|        |
|HR 1211|32    Eri |03 54 17.40|-02 57 10.1| 6.14|        |                                           STAR A2V|-40.09820|192.09300|0.004   |
|HR 2275|          |06 19 59.59|-02 56 39.8| 4.90|        |                                         STAR M1III|-8.33650 |211.97300|-0.001  |
|HR 8580|          |22 31 18.41|-02 54 40.0| 6.16|        |                                            STAR K0|-48.67360|62.68320 |        |
|HR 6869|58Eta Ser |18 21 18.60|-02 53 56.0| 3.26|W       |                                         STAR K0III|5.36220  |26.89530 |0.058   |
|HR 1959|          |05 41 40.30|-02 53 46.0| 6.42|        |                                          STAR A9IV|-16.82540|207.44500|        |
|HR 7831|69    Aql |20 29 39.00|-02 53 08.2| 4.91|        |                                         STAR K2III|-23.09810|41.96590 |0.021   |
|HR 7516|          |19 45 52.20|-02 52 59.9| 6.48|        |                                         STAR B3III|-13.41870|36.60870 |        |
|HR 3135|          |08 00 44.09|-02 52 54.1| 6.51|        |                                           STAR B2V|13.99060 |223.64400|        |
|HR 904 |7    Eri  |03 00 51.00|-02 52 43.0| 6.11|        |                                         STAR M1III|-50.69480|180.46800|        |
|HR 406 |          |01 24 48.70|-02 50 55.0| 6.15|        |                                         STAR G8III|-64.44100|142.56000|        |
|HR 1950|          |05 40 37.30|-02 49 30.0| 6.22|        |                                           STAR B1V|-17.02500|207.25200|        |
|HR 2582|          |06 54 58.80|-02 48 13.0| 6.04|        |                                               STAR|-0.49070 |215.83100|        |
|HR 7809|          |20 25 42.50|-02 48 01.1| 6.11|        |                                               STAR|-22.19100|41.54190 |        |
|HR 7414|36    Aql |19 30 39.79|-02 47 20.0| 5.03|        |                                         STAR M1III|-9.99640 |34.92590 |0.029   |
|HR 892 |          |02 58 42.00|-02 46 57.0| 5.23|W       |                                          STAR A2IV|-51.03320|179.79000|0.016   |
|HR 704 |71    Cet |02 24 58.39|-02 46 48.0| 6.33|        |                                         STAR A0III|-56.93420|169.53200|        |
|HR 3759|31Tau1Hya |09 29 08.90|-02 46 08.0| 4.60|W       |                                           STAR F6V|32.85720 |236.23100|0.072   |
|HR 9012|20    Psc |23 47 56.50|-02 45 42.1| 5.49|W       |                                         STAR G8III|-61.28550|88.27560 |        |
|HR 5590|          |15 01 19.80|-02 45 18.0| 5.52|        |                                         STAR M0III|46.72310 |354.40300|        |
|HR 4116|29Del Sex |10 29 28.70|-02 44 21.1| 5.21|        |                                           STAR B9V|44.58970 |248.41500|        |
|HR 6248|          |16 50 22.30|-02 39 14.0| 6.32|        |                                         STAR F1III|25.27620 |15.50680 |        |
|HR 3472|          |08 45 20.81|-02 36 02.9| 6.41|        |                                          STAR F2IV|23.78000 |229.28000|0.005   |
|HR 1931|48Sig Ori |05 38 44.81|-02 36 00.0| 3.81|        |                                           STAR O9V|-17.33580|206.81600|0.007   |
|HR 1932|          |05 38 47.11|-02 35 39.1| 6.65|        |                                           STAR B2V|-17.32460|206.81600|0.007   |
|HR 7873|70    Aql |20 36 43.61|-02 33 00.0| 4.89|        |                                          STAR K5II|-24.48990|43.21130 |0.016   |
|HR 11  |          |00 07 44.11|-02 32 56.0| 6.43|        |                                         STAR B8III|-63.28700|98.02000 |        |
|HR 2440|          |06 38 20.50|-02 32 37.0| 6.14|        |                                            STAR K2|-4.07220 |213.70600|        |
|HR 3337|          |08 28 29.21|-02 31 01.9| 6.39|        |                                            STAR A5|20.20190 |226.88400|0.015   |
|HR 2210|          |06 12 44.40|-02 30 15.8| 6.62|        |                                           STAR A2V|-9.74970 |210.74200|        |
|HR 373 |39    Cet |01 16 36.31|-02 30 01.1| 5.41|W       |                                         STAR G5III|-64.64570|137.74600|0.015   |
|HR 1687|          |05 11 19.20|-02 29 26.9| 5.90|        |                                           STAR F5V|-23.32840|203.27300|        |
|HR 7946|          |20 47 03.60|-02 29 12.1| 6.27|        |                                            STAR K2|-26.71600|44.66120 |        |
|HR 4299|61    Leo |11 01 49.70|-02 29 04.9| 4.74|        |                                         STAR M0III|50.31950 |256.86700|0.032   |
|HR 1474|51    Eri |04 37 36.10|-02 28 23.9| 5.23|        |                                           STAR F0V|-30.65760|198.61200|0.034   |
|HR 899 |5    Eri  |02 59 41.21|-02 27 54.0| 5.56|        |                                           STAR B9V|-50.63790|179.67500|        |
|HR 7559|          |19 51 11.11|-02 27 38.9| 6.13|        |                                         STAR K5III|-14.40430|37.62280 |        |
|HR 14  |          |00 08 12.10|-02 26 52.1| 6.07|        |                                         STAR K2III|-63.23670|98.34420 |        |
|HR 4484|          |11 38 24.10|-02 26 10.0| 6.22|        |                                         STAR G9III|55.59170 |269.29300|        |
|HR 5706|          |15 20 47.09|-02 24 47.9| 6.35|        |                                           STAR K0V|43.45530 |359.52200|0.033   |
|HR 7890|          |20 39 13.20|-02 24 46.1| 6.22|        |                                         STAR B7III|-24.96910|43.67450 |        |
|HR 1788|28Eta Ori |05 24 28.61|-02 23 48.8| 3.36|        |                                           STAR B1V|-20.39150|204.86600|0.007   |
|HR 8734|          |22 58 15.50|-02 23 43.1| 6.16|D       |                                          STAR G8IV|-53.32380|70.47400 |        |
|HR 650 |66    Cet |02 12 47.50|-02 23 37.0| 5.54|        |                                           STAR F8V|-58.51950|164.61300|0.045   |
|HR 6465|          |17 22 51.29|-02 23 17.9| 6.29|        |                                          STAR G5IV|18.43330 |20.21570 |        |
|HR 6171|12    Oph |16 36 21.50|-02 19 28.9| 5.75|        |                                           STAR K2V|28.41180 |13.72500 |0.093   |
|HR 5535|11    Lib |14 51 01.01|-02 17 57.1| 4.94|        |                                         STAR G8III|48.82090 |352.07700|0.016   |
|HR 2521|          |06 49 16.39|-02 16 18.8| 5.74|W       |                                         STAR B8III|-1.51700 |214.70800|        |
|HR 5366|102Ups Vir|14 19 32.50|-02 15 56.2| 5.14|        |                                         STAR G9III|53.74190 |342.24900|0.018   |
|HR 4249|          |10 53 24.89|-02 15 19.1| 6.12|        |                                         STAR K0III|49.11450 |254.18000|        |
|HR 1685|          |05 10 58.01|-02 15 14.0| 6.25|        |                                          STAR K1IV|-23.29230|203.00100|        |
|HR 353 |34    Cet |01 11 43.49|-02 15 04.0| 5.94|        |                                         STAR K4III|-64.65280|134.84000|        |
|HR 5409|105Phi Vir|14 28 12.10|-02 13 41.2| 4.81|        |                                          STAR G2IV|52.51310 |345.21700|0.047   |
|HR 94  |          |00 24 29.71|-02 13 09.1| 6.07|        |                                         STAR K1III|-64.26860|107.27000|        |
|HR 1596|          |04 58 10.80|-02 12 45.0| 6.35|        |                                           STAR A2V|-26.06680|201.25800|        |
|HR 3760|          |09 29 24.50|-02 12 19.1| 6.14|        |                                         STAR F0III|33.23320 |235.72400|        |
|HR 8402|31Omi Aqr |22 03 18.89|-02 09 19.1| 4.69|        |                                          STAR B7IV|-42.66810|57.43770 |        |
|HR 6578|          |17 40 11.81|-02 09 09.0| 6.19|        |                                           STAR K2I|14.76770 |22.63770 |        |
|HR 3383|          |08 34 01.61|-02 09 06.1| 5.81|        |                                           STAR A1V|21.58130 |227.29300|        |
|HR 4253|          |10 53 43.70|-02 07 45.1| 5.45|W       |                                         STAR G8III|49.26050 |254.14000|        |
|HR 6096|          |16 22 38.90|-02 04 46.9| 6.23|        |                                           STAR B9V|31.40960 |11.79280 |        |
|HR 1613|          |05 00 39.79|-02 03 56.2| 6.32|        |                                          STAR A8IV|-25.45370|201.45200|        |
|HR 3478|          |08 46 02.50|-02 02 56.0| 5.70|        |                                               STAR|24.21430 |228.86200|        |
|HR 6935|60    Ser |18 29 40.99|-01 59 07.1| 5.39|        |                                         STAR K0III|3.92830  |28.67670 |0.013   |
|HR 4224|          |10 48 40.61|-01 57 32.0| 5.93|        |                                         STAR M2III|48.52990 |252.55300|        |
|HR 1948|50Zet Ori |05 40 45.50|-01 56 34.1| 2.05|        |                                           STAR O9I|-16.58530|206.45200|0.024   |
|HR 1949|50Zet Ori |05 40 45.60|-01 56 34.1| 4.21|        |                                         STAR B0III|-16.58490|206.45300|0.024   |
|HR 2865|          |07 29 18.70|-01 54 19.1| 5.59|        |                                         STAR K5III|7.53700  |218.98600|        |
|HR 3486|          |08 47 15.00|-01 53 49.9| 5.29|        |                                           STAR A3V|24.55110 |228.89000|0.020   |
|HR 639 |63    Cet |02 11 35.81|-01 49 31.1| 5.93|        |                                               STAR|-58.23380|163.51700|        |
|HR 5863|25    Ser |15 46 05.59|-01 48 15.8| 5.40|        |                                         STAR B8III|38.98690 |5.53090  |        |
|HR 7143|          |18 56 22.70|-01 48 00.0| 6.22|        |                                         STAR B9III|-1.91950 |31.89240 |        |
|HR 4591|          |12 01 01.80|-01 46 05.2| 6.31|        |                                               STAR|58.65660 |278.14600|        |
|HR 2577|          |06 54 42.10|-01 45 23.0| 6.21|        |                                          STAR B3IV|-0.07490 |214.86700|        |
|HR 4182|33    Sex |10 41 24.19|-01 44 30.1| 6.26|        |                                          STAR K1IV|47.41980 |250.37900|0.026   |
|HR 1863|          |05 33 07.20|-01 43 05.9| 6.46|        |                                           STAR B4V|-18.16690|205.30800|0.002   |
|HR 4419|          |11 27 53.71|-01 42 00.0| 6.25|W       |                                               STAR|54.84690 |264.69500|        |
|HR 6361|          |17 06 52.90|-01 39 23.0| 6.38|        |                                           STAR A9V|22.25580 |18.76420 |        |
|HR 6489|          |17 25 57.89|-01 39 06.1| 6.44|        |                                           STAR F3V|18.11950 |21.29380 |        |
|HR 1970|          |05 43 09.29|-01 36 47.2| 6.31|        |                                         STAR K4III|-15.90180|206.43900|        |
|HR 6277|          |16 54 10.61|-01 36 43.9| 6.25|W       |                                           STAR F0V|25.00840 |17.03620 |        |
|HR 8132|          |21 16 39.60|-01 36 28.1| 6.48|        |                                            STAR K0|-32.65230|49.84230 |        |
|HR 3278|          |08 21 20.21|-01 36 07.9| 6.50|        |                                           STAR A2V|19.10730 |225.09800|0.009   |
|HR 8495|          |22 16 33.60|-01 35 47.0| 6.15|        |                                           STAR A5V|-44.97660|60.81570 |        |
|HR 1861|          |05 32 41.30|-01 35 30.8| 5.35|        |                                          STAR B1IV|-18.20260|205.13800|        |
|HR 6898|          |18 24 57.00|-01 34 45.8| 6.15|        |                                         STAR F6III|5.16510  |28.49230 |0.011   |
|HR 4837|          |12 43 38.11|-01 34 36.8| 5.93|        |                                         STAR G8III|61.23340 |298.87700|        |
|HR 8590|60    Aqr |22 34 02.90|-01 34 27.1| 5.89|W       |                                         STAR G6III|-48.33560|64.89240 |        |
|HR 1244|35    Eri |04 01 31.99|-01 32 58.9| 5.28|        |                                           STAR B5V|-37.81440|191.88300|        |
|HR 7231|          |19 05 18.60|-01 30 46.1| 6.53|        |                                           STAR F1V|-3.77590 |33.16600 |        |
|HR 2324|          |06 26 39.60|-01 30 25.9| 5.87|        |                                           STAR A3V|-6.19960 |211.44600|        |
|HR 5232|90    Vir |13 54 42.10|-01 30 11.2| 5.15|        |                                         STAR K2III|57.56920 |333.46600|0.027   |
|HR 1874|          |05 34 04.01|-01 28 14.2| 5.93|        |                                         STAR K5III|-17.84150|205.19600|        |
|HR 3741|          |09 26 22.30|-01 27 50.0| 6.01|        |                                         STAR K2III|33.02700 |234.48100|        |
|HR 4826|29Gam Vir |12 41 39.60|-01 26 57.8| 3.68|        |                                           STAR F0V|61.32550 |297.83400|0.099   |
|HR 4825|29Gam Vir |12 41 39.60|-01 26 57.8| 3.65|        |                                           STAR F0V|61.32550 |297.83400|0.099   |
|HR 2109|          |05 59 37.70|-01 26 39.8| 6.63|        |                                         STAR B8III|-12.17590|208.25300|        |
|HR 5496|          |14 45 11.71|-01 25 04.1| 6.07|        |                                         STAR M1III|50.44960 |351.32000|        |
|HR 1748|          |05 19 35.21|-01 24 43.9| 6.34|        |                                           STAR B1V|-20.99860|203.31900|        |
|HR 8735|          |22 58 23.71|-01 24 37.1| 6.37|        |                                           STAR F0V|-52.64470|71.66050 |        |
|HR 1717|          |05 15 18.41|-01 24 33.1| 6.15|        |                                          STAR F0IV|-21.93530|202.76400|        |
|HR 3141|28    Mon |08 01 13.30|-01 23 33.0| 4.68|        |                                         STAR K4III|14.81300 |222.35600|0.009   |
|HR 5005|          |13 16 25.49|-01 23 26.2| 6.68|        |                                          STAR F1IV|60.85360 |315.83700|        |
|HR 8518|48Gam Aqr |22 21 39.41|-01 23 13.9| 3.84|        |                                           STAR A0V|-45.84210|62.17970 |0.046   |
|HR 8006|          |20 55 08.11|-01 22 23.9| 6.55|        |                                           STAR A9V|-27.91530|46.87590 |        |
|HR 5078|          |13 29 14.90|-01 21 51.8| 6.43|        |                                         STAR K0III|60.08850 |322.15500|        |
|HR 2636|          |07 01 52.90|-01 20 44.2| 6.17|W       |                                          STAR G5II|1.70910  |215.32100|        |
|HR 2514|          |06 48 19.01|-01 19 09.1| 5.75|        |                                           STAR F1V|-1.29580 |213.75000|        |
|HR 7447|41Iot Aql |19 36 43.30|-01 17 11.0| 4.36|        |                                         STAR B5III|-10.65530|36.98770 |0.004   |
|HR 3758|          |09 29 02.21|-01 15 24.8| 6.27|        |                                           STAR F0V|33.69430 |234.72400|0.012   |
|HR 8944|14    Psc |23 34 09.00|-01 14 51.0| 5.87|        |                                            STAR A2|-58.16680|84.09050 |        |
|HR 6659|          |17 51 59.50|-01 14 12.1| 6.35|        |                                            STAR K0|12.61360 |24.91290 |        |
|HR 2395|          |06 33 37.90|-01 13 13.1| 5.10|        |                                           STAR B5V|-4.51800 |211.98800|        |
|HR 1903|46Eps Ori |05 36 12.79|-01 12 06.8| 1.70|W       |                                           STAR B0I|-17.24170|205.21200|-0.002  |
|HR 962 |94    Cet |03 12 46.39|-01 11 46.0| 5.06|        |                                           STAR F8V|-47.34180|181.50400|0.057   |
|HR 5059|          |13 26 11.40|-01 11 33.0| 5.97|        |                                         STAR A7III|60.46980 |320.77500|        |
|HR 5772|11    Ser |15 32 57.91|-01 11 11.0| 5.51|        |                                         STAR K0III|41.94040 |3.48400  |        |
|HR 3787|32Tau2Hya |09 31 58.90|-01 11 06.0| 4.57|        |                                           STAR A3V|34.34240 |235.15400|0.027   |
|HR 1146|24    Eri |03 44 30.50|-01 09 47.2| 5.25|        |                                           STAR B7V|-41.08480|188.32100|        |
|HR 1868|          |05 33 31.39|-01 09 22.0| 5.34|        |                                           STAR B1V|-17.81290|204.83700|        |
|HR 1312|          |04 13 38.21|-01 08 58.9| 6.44|        |                                          STAR B5IV|-35.06750|193.53500|        |
|HR 248 |20    Cet |00 53 00.50|-01 08 39.1| 4.77|        |                                         STAR M0III|-64.01320|123.82800|-0.003  |
|HR 3845|35Iot Hya |09 39 51.41|-01 08 34.1| 3.91|        |                                         STAR K2III|35.98080 |236.49000|0.026   |
|HR 1952|          |05 40 50.59|-01 07 44.0| 4.95|        |                                          STAR B2IV|-16.18600|205.71300|        |
|HR 2572|          |06 54 24.60|-01 07 36.8| 5.45|        |                                          STAR A4IV|0.14740  |214.27400|0.009   |
|HR 1119|          |03 39 59.50|-01 07 14.2| 6.12|        |                                         STAR K1III|-41.96990|187.38300|        |
|HR 7000|          |18 38 19.10|-01 06 47.9| 6.66|        |                                          STAR F1IV|2.41010  |30.44360 |        |
|HR 7884|71    Aql |20 38 20.30|-01 06 19.1| 4.32|        |                                         STAR G7III|-24.13930|44.81150 |0.010   |
|HR 1834|31    Ori |05 29 43.99|-01 05 31.9| 4.71|        |                                         STAR K5III|-18.61700|204.30500|0.006   |
|HR 8934|13    Psc |23 31 57.60|-01 05 08.9| 6.38|        |                                         STAR K1III|-57.72520|83.40900 |        |
|HR 6367|          |17 08 13.61|-01 04 45.8| 6.06|        |                                           STAR A1V|22.25520 |19.48570 |0.008   |
|HR 7768|          |20 19 43.30|-01 04 43.0| 6.06|        |                                            STAR K0|-20.05610|42.40190 |        |
|HR 1591|          |04 57 17.21|-01 04 01.9| 6.23|        |                                            STAR F2|-25.69620|200.02800|        |
|HR 6516|          |17 30 23.81|-01 03 45.0| 5.31|        |                                          STAR G9IV|17.43860 |22.40030 |0.054   |
|HR 1488|          |04 39 47.21|-01 03 10.1| 6.10|        |                                            STAR K0|-29.46430|197.52100|        |
|HR 1873|          |05 34 03.91|-01 02 08.2| 6.22|        |                                           STAR B2V|-17.63660|204.79300|        |
|HR 739 |75    Cet |02 32 09.41|-01 02 06.0| 5.35|        |                                               STAR|-54.44170|169.94400|        |
