|name   |alt_name  |ra         |dec        |vmag |multiple|class                                              |bii      |lii      |parallax|
|HR 4674|Bet Cha   |12 18 20.69|-79 18 43.9| 4.26|        |                                           STAR B5V|-16.54300|301.33700|        |
|HR 4509|          |11 42 55.39|-79 18 23.0| 6.39|        |                                         STAR K0III|-16.87260|299.65800|        |
|HR 516 |Tau1Hyi   |01 41 21.31|-79 08 53.9| 6.33|W       |                                         STAR G6III|-37.69270|299.98500|        |
|HR 776 |Mu  Hyi   |02 31 40.51|-79 06 33.8| 5.28|        |                                         STAR G8III|-36.87640|297.19000|0.001   |
|HR 2919|Eps Men   |07 25 37.99|-79 05 39.1| 5.53|        |                                         STAR K2III|-25.00620|291.01800|-0.002  |
|HR 3524|          |08 43 12.41|-79 04 10.9| 6.05|        |                                           STAR A5V|-21.63140|292.55100|        |
|HR 5470|Alp Aps   |14 47 51.60|-79 02 40.9| 3.83|        |                                         STAR K3III|-17.45120|308.49300|0.029   |
|HR 981 |          |03 07 31.99|-78 59 21.8| 5.57|W       |                                          STAR F2II|-36.04840|295.33700|        |
|HR 3502|Eta Cha   |08 41 19.51|-78 57 47.9| 5.47|        |                                           STAR B8V|-21.65100|292.40200|        |
|HR 6102|Gam Aps   |16 33 27.00|-78 53 49.9| 3.89|        |                                         STAR G8III|-20.51070|312.68800|0.056   |
|HR 1991|Iot Men   |05 35 36.31|-78 49 14.9| 6.05|        |                                         STAR B8III|-30.22440|290.68000|        |
|HR 8995|          |23 44 40.70|-78 47 29.0| 5.75|        |                                         STAR K1III|-37.80640|306.98400|        |
|HR 64  |          |00 16 49.01|-78 46 50.2| 6.77|        |                                         STAR F3III|-38.20370|305.06700|        |
|HR 8577|          |22 35 26.40|-78 46 18.1| 6.15|        |                                         STAR K1III|-36.22280|310.68900|        |
|HR 6020|Del1Aps   |16 20 20.81|-78 41 44.9| 4.68|W       |                                         STAR M5III|-19.89380|312.41600|0.020   |
|HR 6021|Del2Aps   |16 20 26.81|-78 40 01.9| 5.27|W       |                                         STAR K3III|-19.87850|312.44200|0.020   |
|HR 4174|Gam Cha   |10 35 28.10|-78 36 28.1| 4.11|        |                                         STAR M0III|-17.53240|296.28100|0.009   |
|HR 5240|          |14 00 32.81|-78 35 24.0| 6.09|        |                                         STAR B9III|-16.19160|306.44000|        |
|HR 4649|          |12 13 55.70|-78 34 25.0| 6.35|        |                                         STAR K2III|-15.84200|301.00900|        |
|HR 467 |          |01 33 39.19|-78 30 16.9| 6.11|W       |                                         STAR K0III|-38.40380|300.26200|        |
|HR 4976|          |13 14 17.21|-78 26 49.9| 5.85|        |                                           STAR F8I|-15.62800|304.11800|        |
|HR 1109|          |03 29 58.80|-78 21 06.8| 5.70|        |                                         STAR G8III|-35.80110|293.79500|        |
|HR 593 |Sig Hyi   |01 55 50.50|-78 20 53.9| 6.16|        |                                          STAR F5IV|-38.26350|298.84100|        |
|HR 1154|          |03 36 30.00|-78 19 23.2| 6.29|        |                                         STAR K2III|-35.58710|293.48400|        |
|HR 1682|          |05 00 13.20|-78 18 01.1| 6.29|W       |                                         STAR K5III|-32.05220|290.71400|        |
|HR 4583|Eps Cha   |11 59 37.30|-78 13 18.8| 4.91|W       |                                           STAR B9V|-15.62500|300.20900|0.012   |
|HR 5757|          |15 39 18.29|-77 55 05.2| 6.18|        |                                         STAR K2III|-17.90100|311.39000|        |
|HR 6994|          |18 47 49.39|-77 52 01.9| 6.39|        |                                           STAR F8V|-26.28570|316.48700|        |
|HR 5306|          |14 16 54.89|-77 39 50.0| 6.47|        |                                          STAR K2II|-15.56810|307.56700|        |
|HR 8370|          |22 01 52.10|-77 39 45.0| 6.41|        |                                          STAR A5IV|-35.86640|313.17100|        |
|HR 1531|          |04 38 21.70|-77 39 22.0| 6.05|        |                                         STAR K2III|-33.35410|290.57600|        |
|HR 3000|          |07 36 04.20|-77 38 03.1| 6.18|        |                                         STAR M0III|-24.11190|289.62400|        |
|HR 4397|          |11 21 57.10|-77 36 29.9| 6.43|        |                                         STAR A5III|-15.58980|298.06800|        |
|HR 5082|          |13 33 14.81|-77 34 05.9| 6.48|W       |                                           STAR F6V|-14.88490|305.24800|0.034   |
|HR 6163|Bet Aps   |16 43 04.61|-77 31 03.0| 4.24|W       |                                         STAR K0III|-20.06040|314.17300|0.034   |
|HR 8471|Psi Oct   |22 17 50.50|-77 30 42.1| 5.51|        |                                         STAR F3III|-36.58530|312.56100|        |
|HR 3340|The Cha   |08 20 38.50|-77 29 03.8| 4.35|W       |                                         STAR K2III|-21.83650|290.45800|0.036   |
|HR 87  |          |00 21 28.61|-77 25 36.8| 5.97|        |                                         STAR K3III|-39.57820|305.04200|        |
|HR 8254|Nu  Oct   |21 41 28.49|-77 23 24.0| 3.76|A       |                                         STAR K0III|-35.18880|314.28900|0.053   |
|HR 1025|Iot Hyi   |03 15 57.60|-77 23 17.9| 5.52|        |                                         STAR F4III|-37.00820|293.65400|        |
|HR 8935|          |23 33 19.49|-77 23 07.1| 5.81|        |                                           STAR G2V|-38.91470|308.31500|        |
|HR 98  |Bet Hyi   |00 25 45.10|-77 15 15.1| 2.80|        |                                          STAR G2IV|-39.78210|304.77200|0.153   |
|HR 5547|          |15 00 11.81|-77 09 37.1| 5.93|        |                                          STAR G8II|-16.09340|310.00900|        |
|HR 9084|The Oct   |00 01 35.71|-77 03 56.9| 4.78|        |                                         STAR K3III|-39.71200|306.53100|0.017   |
|HR 8664|          |22 49 40.90|-77 03 02.2| 6.73|        |                                           STAR A4V|-38.04910|311.22100|        |
|HR 8021|Alp Oct   |21 04 43.01|-77 01 26.0| 5.15|        |                                         STAR A7III|-33.64970|315.95800|0.025   |
|HR 3318|Alp Cha   |08 18 31.61|-76 55 10.9| 4.07|        |                                         STAR F5III|-21.68120|289.86000|0.053   |
|HR 8957|          |23 38 24.10|-76 52 12.0| 6.00|        |                                         STAR K0III|-39.49820|308.22400|        |
|HR 5261|The Aps   |14 05 19.80|-76 47 48.1| 5.50|        |                                         STAR M6III|-14.54400|307.22000|        |
|HR 3902|Nu  Cha   |09 46 20.59|-76 46 34.0| 5.45|        |                                         STAR G8III|-17.64780|292.94200|0.019   |
|HR 5389|          |14 29 36.79|-76 43 45.1| 6.07|        |                                         STAR K0III|-14.94930|308.59600|        |
|HR 3695|          |09 12 12.31|-76 39 47.2| 6.14|        |                                         STAR K1III|-18.98780|291.43200|        |
|HR 5540|          |14 57 52.90|-76 39 46.1| 5.34|        |                                         STAR K4III|-15.59540|310.14300|0.008   |
|HR 4605|Kap Cha   |12 04 46.51|-76 31 09.1| 5.04|        |                                         STAR K4III|-13.90010|300.14900|0.003   |
|HR 1953|Gam Men   |05 31 52.90|-76 20 28.0| 5.19|W       |                                         STAR K2III|-30.96960|287.92300|0.020   |
|HR 4170|          |10 35 24.79|-76 18 33.1| 6.30|        |                                         STAR K2III|-15.56940|295.03400|        |
|HR 8052|          |21 08 47.90|-76 12 45.0| 6.58|        |                                         STAR K1III|-34.22840|316.70100|        |
|HR 7863|Mu 1Oct   |20 42 02.90|-76 10 50.2| 6.00|        |                                         STAR F4III|-32.78220|317.50800|        |
|HR 6635|          |17 57 41.81|-76 10 39.0| 6.07|W       |                                         STAR K2III|-23.16460|317.57200|        |
|HR 8380|          |22 03 03.79|-76 07 07.0| 5.95|W       |                                         STAR F3III|-36.94930|314.54100|        |
|HR 8432|          |22 11 55.30|-76 06 58.0| 6.15|        |                                         STAR K0III|-37.34010|314.09000|        |
|HR 5786|          |15 41 54.60|-76 04 54.8| 5.95|        |                                           STAR B9V|-16.56260|312.71500|        |
|HR 58  |          |00 15 55.20|-75 54 41.0| 6.49|        |                                         STAR G8III|-41.01930|305.78600|        |
|HR 4479|Pi  Cha   |11 37 15.60|-75 53 48.1| 5.65|        |                                         STAR F1III|-13.68790|298.35700|        |
|HR 6731|          |18 11 15.70|-75 53 29.0| 5.86|W       |                                         STAR K2III|-23.85300|318.14700|0.016   |
|HR 8420|          |22 10 42.50|-75 52 50.2| 6.55|        |                                         STAR K2III|-37.45050|314.36700|        |
|HR 5115|          |13 39 11.90|-75 41 02.0| 6.34|        |                                          STAR B8IV|-13.09200|305.94300|        |
