,ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly),Above_Horizon,Alt,Az,Rise,Set,Hours_Until_Set
2150,NGC 7492,NGC 7492,Globular Cluster,Aquarius,11.5,6.2,23,8.4,-,15,37,,True,31.59,191.68,6h04m,16h06m,3.33
2151,NGC 7495,NGC 7495,Galaxy,Pegasus,15.0,2.1,23,9.0,+,12,4,,True,58.73,199.46,4h22m,17h49m,5.05
2152,NGC 7496,NGC 7496,Galaxy,Grus,11.1,3.5,23,9.8,-,43,26,,True,4.25,187.25,9h01m,13h12m,0.43
2153,NGC 7497,NGC 7497,Galaxy,Pegasus,13.0,5.0,23,9.1,+,18,11,,True,64.62,203.02,3h58m,18h14m,5.47
2154,NGC 7499,NGC 7499,Galaxy,Pisces,13.8,1.4,23,10.4,+,7,35,,True,54.47,196.93,4h40m,17h34m,4.8
2155,NGC 7501,NGC 7501,Galaxy,Pisces,13.8,0.8,23,10.5,+,7,35,,True,54.49,196.88,4h40m,17h34m,4.8
2156,NGC 7503,NGC 7503,Galaxy,Pisces,13.8,0.9,23,10.7,+,7,34,,True,54.48,196.79,4h40m,17h34m,4.8
2157,NGC 7507,NGC 7507,Galaxy,Sculptor,10.4,2.6,23,12.1,-,28,32,,True,18.94,188.72,7h07m,15h11m,2.42
2158,NGC 7510,NGC 7510,Open Cluster,Cepheus,7.9,4.0,23,11.5,+,60,34,,True,70.56,345.62,---,---,---
2159,NGC 7513,NGC 7513,Galaxy,Sculptor,11.8,3.2,23,13.2,-,28,22,,True,19.15,188.48,7h07m,15h13m,2.45
2160,NGC 7518,NGC 7518,Galaxy,Pisces,14.0,1.5,23,13.1,+,6,19,,True,53.39,195.32,4h48m,17h32m,4.77
2161,NGC 7531,NGC 7531,Galaxy,Grus,11.3,3.5,23,14.8,-,43,36,,True,4.19,186.32,9h08m,13h14m,0.47
2162,NGC 7532,NGC 7532,Galaxy,Pisces,15.0,1.8,23,14.4,-,2,42,,True,44.54,192.42,5h22m,17h00m,4.23
2163,NGC 7537,NGC 7537,Galaxy,Pisces,13.2,2.3,23,14.6,+,4,30,,True,51.66,194.2,4h56m,17h27m,4.68
2164,NGC 7541,NGC 7541,Galaxy,Pisces,11.7,3.5,23,14.7,+,4,32,,True,51.7,194.15,4h56m,17h27m,4.68
2165,NGC 7547,NGC 7547,Galaxy,Pegasus,15.0,1.3,23,15.0,+,18,58,,True,65.8,200.32,4h01m,18h23m,5.62
2166,NGC 7549,NGC 7549,Galaxy,Pegasus,14.0,2.9,23,15.3,+,19,2,,True,65.88,200.24,4h00m,18h23m,5.62
2167,NGC 7550,NGC 7550,Galaxy,Pegasus,14.0,1.7,23,15.3,+,18,57,,True,65.8,200.2,4h01m,18h23m,5.62
2168,NGC 7552,NGC 7552,Galaxy,Grus,10.7,3.5,23,16.2,-,42,35,,True,5.2,186.18,8h57m,13h29m,0.72
2169,NGC 7562,NGC 7562,Galaxy,Pisces,11.5,2.3,23,16.0,+,6,41,,True,53.88,194.31,4h49m,17h36m,4.83
2170,NGC 7576,NGC 7576,Galaxy,Aquarius,13.0,1.5,23,17.4,-,4,44,,True,42.67,190.98,5h32m,16h56m,4.17
2171,NGC 7578,NGC 7578,Galaxy,Pegasus,14.0,1.6,23,17.2,+,18,41,,True,65.67,198.95,4h04m,18h24m,5.63
2172,NGC 7580,NGC 7580,Galaxy,Pegasus,15.0,0.9,23,17.6,+,14,0,,True,61.12,196.28,4h23m,18h05m,5.32
2173,NGC 7582,NGC 7582,Galaxy,Grus,10.6,4.6,23,18.4,-,42,22,,True,5.45,185.8,8h57m,13h33m,0.78
2174,NGC 7585,NGC 7585,Galaxy,Aquarius,11.7,2.3,23,18.0,-,4,39,,True,42.78,190.78,5h32m,16h57m,4.18
2175,NGC 7587,NGC 7587,Galaxy,Pegasus,15.0,1.4,23,18.0,+,9,41,,True,56.91,194.42,4h40m,17h49m,5.05
2176,NGC 7590,NGC 7590,Galaxy,Grus,11.6,2.7,23,18.9,-,42,14,,True,5.59,185.72,8h56m,13h35m,0.82
2177,NGC 7592,NGC 7592,Galaxy,Aquarius,14.0,1.4,23,18.4,-,4,25,,True,43.02,190.71,5h32m,16h58m,4.2
2178,NGC 7599,NGC 7599,Galaxy,Grus,11.4,4.4,23,19.3,-,42,15,,True,5.58,185.63,8h56m,13h36m,0.83
2179,NGC 7600,NGC 7600,Galaxy,Aquarius,13.0,2.4,23,18.9,-,7,35,,True,39.9,189.97,5h44m,16h47m,4.02
2180,NGC 7601,NGC 7601,Galaxy,Pegasus,15.0,1.5,23,18.8,+,9,14,,True,56.51,193.92,4h43m,17h48m,5.03
2181,NGC 7603,NGC 7603,Galaxy,Pisces,14.0,1.7,23,19.0,+,0,15,,True,47.65,191.45,5h16m,17h16m,4.5
2182,NGC 7606,NGC 7606,Galaxy,Aquarius,10.8,5.8,23,19.1,-,8,29,,True,39.01,189.76,5h47m,16h44m,3.97
2183,NGC 7609,NGC 7609,Galaxy,Pegasus,15.0,1.5,23,19.5,+,9,29,,True,56.81,193.69,4h42m,17h50m,5.07
2184,NGC 7610,NGC 7610,Galaxy,Pegasus,15.0,3.0,23,19.6,+,10,10,,True,57.48,193.83,4h40m,17h53m,5.12
2185,NGC 7611,NGC 7611,Galaxy,Pisces,12.6,1.5,23,19.6,+,8,4,,True,55.39,193.19,4h48m,17h45m,4.98
2186,NGC 7615,NGC 7615,Galaxy,Pegasus,16.0,1.2,23,19.9,+,8,24,,True,55.73,193.17,4h47m,17h46m,5.0
2187,NGC 7617,NGC 7617,Galaxy,Pisces,13.8,1.0,23,20.2,+,8,10,,True,55.51,192.99,4h48m,17h46m,5.0
2188,NGC 7619,NGC 7619,Galaxy,Pegasus,11.1,2.9,23,20.2,+,8,12,,True,55.56,192.96,4h48m,17h46m,5.0
2189,NGC 7620,NGC 7620,Galaxy,Pegasus,14.0,1.3,23,20.1,+,24,13,,True,71.16,201.33,3h42m,18h51m,6.08
2190,NGC 7623,NGC 7623,Galaxy,Pegasus,12.4,1.9,23,20.5,+,8,24,,True,55.76,192.91,4h48m,17h47m,5.02
2191,NGC 7624,NGC 7624,Galaxy,Pegasus,13.4,1.1,23,20.4,+,27,19,,True,74.11,204.46,3h27m,19h07m,6.35
2192,NGC 7625,NGC 7625,Galaxy,Pegasus,12.1,1.8,23,20.5,+,17,14,,True,64.42,196.33,4h13m,18h21m,5.58
2193,NGC 7626,NGC 7626,Galaxy,Pegasus,11.2,2.5,23,20.7,+,8,13,,True,55.59,192.76,4h48m,17h46m,5.0
2194,NGC 7631,NGC 7631,Galaxy,Pegasus,14.0,1.9,23,21.4,+,8,13,,True,55.62,192.45,4h49m,17h47m,5.02
2195,NGC 7634,NGC 7634,Galaxy,Pegasus,14.0,1.5,23,21.6,+,8,52,,True,56.29,192.53,4h47m,17h50m,5.07
2196,NGC 7640,NGC 7640,Galaxy,Andromeda,10.9,10.0,23,22.1,+,40,51,,True,84.69,259.3,1h55m,20h42m,7.93
2197,NGC 7648,NGC 7648,Galaxy,Pegasus,14.0,1.9,23,23.8,+,9,39,,True,57.14,191.78,4h46m,17h55m,5.15
2198,NGC 7649,NGC 7649,Galaxy,Pegasus,13.7,1.6,23,24.3,+,14,38,,True,62.07,193.19,4h27m,18h14m,5.47
2199,NGC 7662,NGC 7662,Planetary Nebula,Andromeda,9.0,2.2,23,25.9,+,42,33,,True,85.57,278.4,1h40m,21h05m,8.32
2200,NGC 7671,NGC 7671,Galaxy,Pegasus,12.7,1.7,23,27.3,+,12,28,,True,60.04,190.99,4h39m,18h09m,5.38
2201,NGC 7672,NGC 7672,Galaxy,Pegasus,15.0,1.0,23,27.5,+,12,23,,True,59.96,190.87,4h39m,18h09m,5.38
2202,NGC 7673,NGC 7673,Galaxy,Pegasus,12.7,1.7,23,27.7,+,23,35,,True,70.99,195.67,3h53m,18h56m,6.17
2203,NGC 7674,NGC 7674,Galaxy,Pegasus,14.0,1.2,23,27.9,+,8,47,,True,56.41,189.75,4h54m,17h56m,5.17
2204,NGC 7675,NGC 7675,Galaxy,Pegasus,15.0,0.7,23,28.0,+,8,46,,True,56.4,189.68,4h54m,17h56m,5.17
2205,NGC 7677,NGC 7677,Galaxy,Pegasus,14.0,1.9,23,28.1,+,23,32,,True,70.96,195.34,3h53m,18h56m,6.17
2206,NGC 7678,NGC 7678,Galaxy,Pegasus,12.2,2.3,23,28.5,+,22,25,,True,69.89,194.41,3h59m,18h51m,6.08
2207,NGC 7679,NGC 7679,Galaxy,Pisces,12.7,1.9,23,28.8,+,3,31,,True,51.2,188.35,5h14m,17h37m,4.85
2208,NGC 7682,NGC 7682,Galaxy,Pisces,13.4,1.2,23,29.1,+,3,32,,True,51.23,188.24,5h14m,17h38m,4.87
2209,NGC 7685,NGC 7685,Galaxy,Pisces,15.0,2.1,23,30.6,+,3,54,,True,51.64,187.71,5h14m,17h40m,4.9
2210,NGC 7686,NGC 7686,Open Cluster,Andromeda,5.6,15.0,23,30.2,+,49,8,,True,82.06,335.58,---,---,---
2214,NGC 7713,NGC 7713,Galaxy,Sculptor,12.0,4.3,23,36.5,-,37,56,,True,10.05,182.69,8h32m,14h34m,1.8
2215,NGC 7714,NGC 7714,Galaxy,Pisces,13.0,2.1,23,36.2,+,2,9,,True,50.01,185.24,5h26m,17h40m,4.9
2216,NGC 7715,NGC 7715,Galaxy,Pisces,15.0,2.6,23,36.4,+,2,9,,True,50.02,185.19,5h26m,17h40m,4.9
2217,NGC 7716,NGC 7716,Galaxy,Pisces,12.2,2.3,23,36.5,+,0,18,,True,48.17,184.94,5h33m,17h33m,4.78
2218,NGC 7720,NGC 7720,Galaxy,Pegasus,12.6,1.9,23,38.5,+,27,2,,True,74.82,189.59,3h47m,19h24m,6.63
2219,NGC 7721,NGC 7721,Galaxy,Aquarius,11.8,3.4,23,38.8,-,6,31,,True,41.4,183.61,6h00m,17h11m,4.42
2220,NGC 7723,NGC 7723,Galaxy,Aquarius,11.1,3.6,23,38.9,-,12,58,,True,34.97,183.2,6h24m,16h47m,4.02
2221,NGC 7727,NGC 7727,Galaxy,Aquarius,10.7,4.2,23,39.9,-,12,18,,True,35.64,182.95,6h23m,16h50m,4.07
2222,NGC 7731,NGC 7731,Galaxy,Pisces,14.0,1.7,23,41.6,+,3,45,,True,51.67,183.31,5h25m,17h51m,5.08
2223,NGC 7732,NGC 7732,Galaxy,Pisces,15.0,2.0,23,41.7,+,3,44,,True,51.65,183.28,5h26m,17h51m,5.08
2224,NGC 7738,NGC 7738,Galaxy,Pisces,14.0,2.2,23,44.1,+,0,31,,True,48.47,182.14,5h40m,17h42m,4.93
2225,NGC 7741,NGC 7741,Galaxy,Pegasus,11.4,4.0,23,43.9,+,26,5,,True,74.0,184.74,3h57m,19h24m,6.63
2226,NGC 7742,NGC 7742,Galaxy,Pegasus,11.5,2.0,23,44.3,+,10,46,,True,58.71,182.58,5h02m,18h19m,5.55
2227,NGC 7743,NGC 7743,Galaxy,Pegasus,11.2,3.1,23,44.4,+,9,56,,True,57.88,182.48,5h06m,18h16m,5.5
2228,NGC 7744,NGC 7744,Galaxy,Phoenix,13.0,2.3,23,45.0,-,42,55,,True,5.2,180.87,9h30m,13h53m,1.12
2229,NGC 7750,NGC 7750,Galaxy,Pisces,14.0,1.8,23,46.7,+,3,47,,True,51.77,181.24,5h30m,17h56m,5.17
2230,NGC 7752,NGC 7752,Galaxy,Pegasus,14.0,0.7,23,47.0,+,29,27,,True,77.41,182.74,3h42m,19h45m,6.98
2231,NGC 7753,NGC 7753,Galaxy,Pegasus,13.0,3.4,23,47.1,+,29,29,,True,77.44,182.64,3h42m,19h45m,6.98
2232,NGC 7755,NGC 7755,Galaxy,Sculptor,12.0,3.7,23,47.9,-,30,31,,True,17.49,180.42,7h53m,15h35m,2.82
2233,NGC 7762,NGC 7762,Open Cluster,Cepheus,10.0,11.0,23,49.8,+,68,2,,True,64.02,0.02,---,---,---
