|name   |alt_name  |ra         |dec        |vmag |multiple|class                                              |
|HR 2594|          |06 54 02.30|-50 36 42.1| 6.26|        |                                         STAR K0III|
|HR 1767|Zet Pic   |05 19 22.10|-50 36 22.0| 5.45|        |                                         STAR F7III|
|HR 3178|          |08 04 42.41|-50 35 26.2| 5.95|        |                                          STAR G5II|
|HR 111 |          |00 28 43.10|-50 31 58.1| 6.26|        |                                         STAR K0III|
|HR 6576|          |17 42 03.89|-50 30 38.2| 6.24|        |                                          STAR M3II|
|HR 3071|          |07 50 23.90|-50 30 34.9| 5.91|        |                                         STAR K2III|
|HR 7271|          |19 12 46.10|-50 29 11.0| 6.13|W       |                                         STAR G8III|
|HR 1516|Lam Pic   |04 42 46.39|-50 28 53.0| 5.31|        |                                         STAR K0III|
|HR 5425|Sig Lup   |14 32 36.89|-50 27 24.8| 4.42|        |                                         STAR B2III|
|HR 3256|          |08 15 23.30|-50 26 57.8| 6.44|        |                                         STAR K3III|
|HR 1090|          |03 32 34.80|-50 22 43.0| 5.68|        |                                         STAR K2III|
|HR 5251|          |13 59 17.30|-50 22 12.0| 5.91|        |                                         STAR G8III|
|HR 2083|          |05 54 10.70|-50 21 42.8| 6.52|        |                                          STAR G8IV|
|HR 2687|          |07 05 16.49|-50 21 37.1| 6.46|        |                                         STAR K3III|
|HR 2281|          |06 18 46.80|-50 21 33.1| 7.04|        |                                           STAR G2I|
|HR 9082|          |00 01 19.99|-50 20 13.9| 5.53|        |                                         STAR M2III|
|HR 5176|          |13 47 38.40|-50 19 16.0| 5.45|        |                                         STAR K2III|
|HR 8877|          |23 20 49.99|-50 18 24.1| 6.05|W       |                                            STAR F5|
|HR 5175|          |13 47 27.60|-50 14 57.8| 5.91|        |                                            STAR A3|
|HR 3927|          |09 54 51.29|-50 14 38.0| 5.72|        |                                           STAR A0V|
|HR 2384|          |06 29 49.10|-50 14 21.1| 5.27|W       |                                           STAR F2V|
|HR 4743|Sig Cen   |12 28 02.40|-50 13 50.2| 3.91|        |                                           STAR B2V|
|HR 9006|Sig Phe   |23 47 16.01|-50 13 36.1| 5.18|        |                                           STAR B3V|
|HR 541 |          |01 50 54.50|-50 12 22.0| 5.94|        |                                           STAR A1V|
|HR 3247|          |08 13 34.10|-50 11 46.0| 5.51|        |                                         STAR M1III|
|HR 8910|          |23 27 09.10|-50 09 25.9| 6.20|        |                                           STAR B9V|
|HR 6072|Gam2Nor   |16 19 50.40|-50 09 20.2| 4.02|W       |                                         STAR G8III|
|HR 7037|          |18 46 59.09|-50 05 39.8| 6.54|        |                                           STAR F0V|
|HR 6743|The Ara   |18 06 37.90|-50 05 30.1| 3.66|        |                                           STAR B2I|
|HR 6058|Gam1Nor   |16 17 00.91|-50 04 05.9| 4.99|        |                                           STAR F9I|
|HR 6423|          |17 19 30.31|-50 03 47.9| 6.27|W       |                                         STAR F8III|
|HR 6547|          |17 37 27.19|-50 03 36.0| 5.93|        |                                         STAR K0III|
|HR 6236|          |16 50 35.90|-50 02 44.2| 6.47|W       |                                         STAR A5III|
|HR 501 |          |01 41 41.09|-50 02 20.0| 6.64|        |                                           STAR A3V|
|HR 7766|          |20 21 40.99|-49 59 57.8| 6.27|        |                                           STAR G0V|
|HR 3005|          |07 43 06.89|-49 59 34.1| 6.57|        |                                           STAR A2V|
|HR 3142|          |07 59 12.29|-49 58 36.1| 6.32|W       |                                          STAR B2IV|
|HR 3143|          |07 59 13.39|-49 58 25.0| 6.34|W       |                                          STAR B2IV|
|HR 5134|          |13 39 59.69|-49 57 01.1| 6.00|        |                                         STAR M5III|
|HR 3407|          |08 34 43.61|-49 56 39.1| 5.01|        |                                          STAR K1II|
|HR 8152|          |21 21 16.39|-49 56 16.1| 6.38|        |                                         STAR K3III|
|HR 4782|          |12 33 59.21|-49 54 33.8| 6.38|W       |                                         STAR F3III|
|HR 4942|Xi 2Cen   |13 06 54.60|-49 54 22.0| 4.27|W       |                                           STAR B1V|
|HR 868 |          |02 53 52.90|-49 53 25.1| 4.00|        |                                         STAR M7III|
|HR 7108|          |18 54 32.30|-49 52 43.0| 6.60|        |                                           STAR A2V|
|HR 6510|Alp Ara   |17 31 50.50|-49 52 34.0| 2.95|W       |                                           STAR B2V|
|HR 5046|          |13 23 52.30|-49 49 23.2| 6.48|        |                                         STAR G8III|
|HR 3476|          |08 43 40.30|-49 49 22.1| 5.16|        |                                         STAR B0III|
|HR 4353|          |11 12 56.90|-49 44 11.0| 6.11|        |                                          STAR G8II|
|HR 447 |          |01 32 36.31|-49 43 40.1| 6.28|        |                                           STAR F4V|
|HR 8659|          |22 46 28.30|-49 41 08.9| 6.48|        |                                         STAR K1III|
|HR 6188|          |16 41 40.20|-49 39 06.1| 5.65|        |                                           STAR B1I|
|HR 2089|          |05 54 41.09|-49 37 36.8| 6.10|        |                                           STAR B3V|
|HR 8828|          |23 13 15.00|-49 37 08.0| 6.80|W       |                                         STAR G8III|
|HR 3089|          |07 53 03.70|-49 36 47.2| 4.63|        |                                           STAR B1V|
|HR 8791|          |23 07 09.50|-49 36 24.1| 6.33|        |                                         STAR K4III|
|HR 2672|          |07 03 53.69|-49 35 02.0| 4.93|        |                                          STAR A4IV|
|HR 1663|Eta2Pic   |05 04 58.01|-49 34 40.1| 5.03|        |                                         STAR K5III|
|HR 6083|          |16 22 28.01|-49 34 19.9| 5.33|        |                                          STAR B6IV|
|HR 2204|          |06 09 23.30|-49 33 46.1| 6.49|        |                                           STAR F7V|
|HR 4933|Xi 1Cen   |13 03 33.19|-49 31 37.9| 4.85|        |                                           STAR A0V|
|HR 5413|          |14 30 20.90|-49 31 09.1| 5.37|W       |                                           STAR A1V|
|HR 8303|          |21 45 19.01|-49 29 55.0| 6.45|        |                                         STAR K1III|
|HR 5832|          |15 42 37.20|-49 29 21.8| 6.04|        |                                         STAR K2III|
|HR 5453|Rho Lup   |14 37 53.21|-49 25 32.9| 4.05|        |                                           STAR B5V|
|HR 3647|          |09 09 45.10|-49 25 28.9| 6.48|        |                                           STAR A9V|
|HR 4216|Mu  Vel   |10 46 46.20|-49 25 12.0| 2.69|W       |                                         STAR G5III|
|HR 6569|Lam Ara   |17 40 23.59|-49 24 56.2| 4.77|        |                                          STAR F3IV|
|HR 4111|          |10 28 01.90|-49 24 20.2| 6.10|        |                                         STAR K4III|
|HR 4316|          |11 05 04.20|-49 23 33.0| 6.13|        |                                           STAR B9V|
|HR 5063|          |13 27 20.81|-49 22 50.9| 6.28|        |                                          STAR B3IV|
|HR 3836|          |09 36 49.61|-49 21 19.1| 4.35|W       |                                          STAR A5IV|
|HR 7621|          |20 00 25.30|-49 21 04.0| 6.17|        |                                         STAR K0III|
|HR 3129|          |07 58 14.40|-49 14 42.0| 4.41|W       |                                           STAR B1V|
|HR 5962|Eta Nor   |16 03 12.91|-49 13 46.9| 4.65|        |                                         STAR G8III|
|HR 1649|Eta1Pic   |05 02 48.60|-49 09 05.0| 5.38|W       |                                           STAR F2V|
|HR 5061|          |13 27 06.29|-49 08 38.0| 6.31|W       |                                         STAR A0III|
|HR 4462|          |11 34 56.81|-49 08 12.1| 5.50|        |                                         STAR K1III|
|HR 4350|          |11 12 33.10|-49 06 04.0| 5.36|        |                                          STAR A3IV|
|HR 5617|          |15 07 25.90|-49 05 17.9| 5.77|        |                                         STAR G8III|
|HR 6   |          |00 06 19.01|-49 04 30.0| 5.70|W       |                                          STAR G1IV|
|HR 440 |Del Phe   |01 31 15.10|-49 04 22.1| 3.95|        |                                         STAR K0III|
|HR 6905|Zet Tel   |18 28 49.90|-49 04 14.9| 4.13|        |                                         STAR G8III|
|HR 4516|          |11 45 12.60|-49 04 10.9| 6.26|        |                                         STAR K1III|
|HR 5458|          |14 39 24.70|-49 03 20.2| 6.39|        |                                          STAR F3IV|
|HR 3817|          |09 33 44.50|-49 00 18.0| 5.12|W       |                                          STAR B4IV|
|HR 3148|          |08 00 14.90|-48 58 53.0| 6.02|        |                                           STAR A2V|
|HR 8658|          |22 46 07.99|-48 58 44.0| 6.62|        |                                           STAR F9V|
|HR 4819|Gam Cen   |12 41 31.01|-48 57 34.9| 2.17|W       |                                          STAR A1IV|
|HR 4996|          |13 14 43.10|-48 57 24.1| 5.89|        |                                         STAR K1III|
|HR 4888|          |12 53 06.89|-48 56 35.9| 4.33|        |                                         STAR K3III|
|HR 2719|          |07 10 47.50|-48 55 55.9| 5.14|        |                                         STAR K2III|
|HR 3453|          |08 41 05.30|-48 55 21.0| 5.90|        |                                           STAR B1V|
|HR 4734|          |12 26 48.19|-48 54 47.9| 6.26|        |                                           STAR G3V|
|HR 5871|          |15 49 57.50|-48 54 42.8| 5.84|        |                                           STAR A1V|
|HR 6374|          |17 11 38.90|-48 52 27.1| 5.84|        |                                         STAR M1III|
|HR 3151|          |08 00 28.90|-48 52 17.0| 6.12|        |                                            STAR A0|
|HR 5566|          |14 58 08.81|-48 51 47.2| 6.35|        |                                           STAR G3V|
|HR 2940|          |07 36 43.90|-48 49 49.1| 5.72|        |                                           STAR B9V|
|HR 4831|          |12 42 35.40|-48 48 47.2| 4.66|        |                                         STAR K0III|
|HR 9081|Tau Phe   |00 01 04.51|-48 48 36.0| 5.71|        |                                         STAR G8III|
|HR 125 |Lam1Phe   |00 31 25.01|-48 48 13.0| 4.77|W       |                                           STAR A0V|
|HR 6187|          |16 41 20.30|-48 45 47.2| 5.65|W       |                                         STAR O5III|
|HR 3831|          |09 36 25.30|-48 45 05.0| 6.17|W       |                                            STAR A0|
|HR 5647|Kap2Lup   |15 11 57.60|-48 44 37.0| 5.69|W       |                                          STAR A3IV|
|HR 2290|          |06 20 06.10|-48 44 28.0| 6.60|        |                                           STAR G3V|
|HR 5646|Kap1Lup   |15 11 56.09|-48 44 16.1| 3.87|W       |                                           STAR B9V|
|HR 960 |          |03 10 27.41|-48 44 03.1| 6.12|        |                                         STAR K1III|
|HR 2608|          |06 56 16.01|-48 43 16.0| 4.95|        |                                         STAR M1III|
|HR 4620|          |12 08 14.69|-48 41 34.1| 5.34|        |                                           STAR B9V|
|HR 3203|          |08 09 09.60|-48 41 03.8| 5.70|        |                                           STAR B8I|
|HR 6300|          |17 00 27.10|-48 38 52.1| 6.00|W       |                                         STAR G8III|
|HR 2957|          |07 38 18.19|-48 36 04.0| 5.68|        |                                           STAR F4I|
|HR 8700|Tau1Gru   |22 53 37.90|-48 35 53.2| 6.04|        |                                           STAR G0V|
|HR 3583|          |08 57 55.80|-48 34 23.9| 5.87|        |                                          STAR G8II|
|HR 5039|          |13 23 02.59|-48 33 46.1| 6.38|        |                                          STAR B6IV|
|HR 4802|Tau Cen   |12 37 42.19|-48 32 28.0| 3.86|        |                                           STAR A2V|
|HR 3294|          |08 22 31.61|-48 29 25.1| 4.82|W       |                                           STAR B1V|
|HR 4940|          |13 06 16.70|-48 27 49.0| 4.71|W       |                                           STAR B5V|
|HR 3227|          |08 11 11.09|-48 27 42.8| 5.82|        |                                           STAR B3V|
|HR 4871|          |12 50 19.61|-48 27 34.9| 6.24|        |                                           STAR A0V|
|HR 2162|          |06 04 46.90|-48 27 31.0| 6.58|W       |                                           STAR G6V|
|HR 3943|          |09 57 42.50|-48 24 51.8| 6.05|W       |                                           STAR B3V|
|HR 7095|          |18 53 02.50|-48 21 36.0| 6.19|        |                                           STAR A2V|
|HR 3539|          |08 52 38.59|-48 21 33.1| 5.91|        |                                           STAR B3V|
|HR 5375|          |14 22 38.71|-48 19 13.1| 6.09|W       |                                         STAR B1III|
|HR 5699|Nu 2Lup   |15 21 48.19|-48 19 04.1| 5.65|        |                                           STAR G3V|
|HR 7223|          |19 06 55.61|-48 17 57.1| 5.97|        |                                           STAR A0V|
|HR 2563|          |06 51 32.81|-48 17 33.0| 6.42|        |                                         STAR K2III|
|HR 5103|          |13 34 28.90|-48 16 19.9| 6.33|W       |                                         STAR B8III|
|HR 2762|          |07 14 38.21|-48 16 18.1| 4.76|W       |                                           STAR B8V|
|HR 4167|          |10 37 18.10|-48 13 32.9| 3.84|W       |                                          STAR F4IV|
|HR 2462|          |06 38 37.61|-48 13 13.1| 4.93|W       |                                         STAR G8III|
|HR 5650|          |15 12 31.30|-48 13 07.0| 6.33|        |                                         STAR K2III|
|HR 120 |          |00 30 26.09|-48 12 54.0| 5.69|        |                                           STAR F2V|
|HR 2348|          |06 25 43.61|-48 10 37.9| 5.76|W       |                                           STAR B9V|
|HR 5921|          |15 57 03.79|-48 09 43.9| 6.31|        |                                          STAR F1IV|
|HR 6894|          |18 26 53.90|-48 07 00.8| 5.46|        |                                         STAR K0III|
|HR 8440|          |22 09 58.01|-48 06 25.9| 6.43|        |                                         STAR K3III|
|HR 3090|          |07 53 18.19|-48 06 11.2| 4.24|        |                                           STAR B0I|
|HR 3462|          |08 42 16.01|-48 05 57.1| 5.51|W       |                                           STAR B1V|
|HR 7424|Iot Tel   |19 35 13.01|-48 05 57.1| 4.90|        |                                         STAR K0III|
|HR 7005|          |18 41 30.60|-48 05 42.0| 6.49|        |                                         STAR K2III|
|HR 4880|          |12 52 05.30|-48 05 39.1| 6.33|        |                                          STAR A0IV|
|HR 5663|          |15 15 53.81|-48 04 27.1| 5.95|W       |                                            STAR A3|
|HR 1167|          |03 44 50.59|-48 03 41.0| 6.49|        |                                         STAR G8III|
|HR 147 |Lam2Phe   |00 35 41.11|-48 00 02.9| 5.51|        |                                           STAR F6V|
|HR 8722|Tau3Gru   |22 56 47.81|-47 58 09.1| 5.70|        |                                            STAR A0|
|HR 5038|          |13 22 52.70|-47 56 35.2| 6.16|W       |                                           STAR A4V|
|HR 3213|          |08 09 43.20|-47 56 15.0| 5.23|        |                                          STAR B1IV|
|HR 3358|          |08 29 04.70|-47 55 45.1| 5.33|W       |                                          STAR B2IV|
|HR 5698|Nu 1Lup   |15 22 08.30|-47 55 40.1| 5.00|        |                                           STAR F8V|
|HR 6986|          |18 39 14.30|-47 54 34.9| 5.86|        |                                          STAR A7IV|
|HR 3118|          |07 57 19.99|-47 53 25.1| 6.22|W       |                                           STAR B5V|
|HR 5559|          |14 56 31.99|-47 52 45.1| 5.64|W       |                                           STAR B9V|
|HR 5683|Mu  Lup   |15 18 31.99|-47 52 30.0| 4.27|W       |                                           STAR B8V|
|HR 3375|          |08 31 10.80|-47 52 00.1| 6.39|        |                                           STAR B2V|
|HR 537 |          |01 50 20.21|-47 48 59.0| 6.14|        |                                          STAR K1IV|
|HR 1021|          |03 21 33.29|-47 46 36.8| 6.39|        |                                         STAR K0III|
|HR 998 |          |03 17 26.59|-47 45 06.1| 5.85|        |                                         STAR K2III|
|HR 4476|          |11 37 33.91|-47 44 49.9| 5.44|        |                                         STAR K2III|
|HR 5821|          |15 40 58.30|-47 44 08.2| 6.23|W       |                                         STAR K5III|
|HR 7745|          |20 18 55.99|-47 42 38.9| 6.31|        |                                         STAR M1III|
|HR 721 |Kap Eri   |02 26 59.11|-47 42 14.0| 4.25|        |                                          STAR B5IV|
|HR 4066|          |10 20 16.70|-47 41 57.1| 5.65|        |                                         STAR K5III|
|HR 4311|          |11 04 31.20|-47 40 45.1| 5.67|        |                                         STAR A8III|
|HR 2476|          |06 40 49.30|-47 40 28.9| 6.65|        |                                         STAR M2III|
|HR 4466|          |11 35 55.61|-47 38 30.1| 5.25|        |                                            STAR A7|
|HR 7749|          |20 19 17.90|-47 34 49.1| 6.13|        |                                           STAR F5V|
|HR 7537|          |19 50 13.80|-47 33 25.9| 5.94|        |                                         STAR M1III|
|HR 6115|Eps Nor   |16 27 11.09|-47 33 18.0| 4.47|W       |                                           STAR B4V|
|HR 209 |          |00 45 45.60|-47 33 06.1| 5.80|W       |                                           STAR G1V|
|HR 3551|          |08 53 50.69|-47 31 14.9| 5.33|W       |                                          STAR A9IV|
|HR 6778|          |18 11 04.49|-47 30 47.2| 6.07|W       |                                         STAR K1III|
|HR 6451|Iot Ara   |17 23 16.10|-47 28 05.9| 5.25|W       |                                         STAR B2III|
|HR 5494|          |14 46 29.09|-47 26 28.0| 5.74|        |                                           STAR A1V|
|HR 5469|Alp Lup   |14 41 55.80|-47 23 17.9| 2.30|W       |                                         STAR B1III|
|HR 574 |          |01 57 10.01|-47 23 06.0| 4.83|        |                                         STAR G8III|
|HR 1081|          |03 30 37.01|-47 22 31.1| 5.99|        |                                           STAR A1V|
|HR 4463|          |11 35 13.20|-47 22 21.0| 5.71|W       |                                         STAR M3III|
|HR 6045|The Nor   |16 15 15.31|-47 22 19.9| 5.14|        |                                           STAR B8V|
|HR 3976|          |10 06 11.30|-47 22 12.0| 5.08|W       |                                          STAR K1IV|
|HR 1169|          |03 45 15.79|-47 21 34.9| 5.73|        |                                         STAR K1III|
|HR 3206|Gam1Vel   |08 09 29.30|-47 20 44.9| 4.27|W       |                                          STAR B1IV|
|HR 3670|          |09 13 34.51|-47 20 19.0| 5.92|        |                                           STAR B9V|
|HR 822 |          |02 45 16.49|-46 17 13.9| 6.85|        |                                         STAR K2III|
|HR 3207|Gam2Vel   |08 09 31.99|-47 20 12.1| 1.78|W       |                                               STAR|
|HR 3452|          |08 41 13.10|-47 19 00.8| 4.77|        |                                          STAR A5II|
|HR 1927|          |05 36 02.71|-47 18 50.0| 6.11|        |                                         STAR K2III|
|HR 8323|          |21 48 15.79|-47 18 13.0| 5.58|W       |                                           STAR G0V|
|HR 7869|Alp Ind   |20 37 34.01|-47 17 29.0| 3.11|W       |                                         STAR K0III|
|HR 5231|Zet Cen   |13 55 32.40|-47 17 17.9| 2.55|        |                                          STAR B2IV|
|HR 3588|          |08 58 52.30|-47 14 04.9| 5.18|W       |                                            STAR A0|
|HR 6922|          |18 29 55.80|-47 13 13.1| 5.70|        |                                         STAR K2III|
|HR 8635|          |22 42 36.89|-47 12 38.2| 5.98|W       |                                           STAR G0V|
|HR 6323|          |17 03 41.71|-47 09 36.0| 6.06|W       |                                           STAR A2V|
|HR 5223|          |13 53 56.90|-47 07 41.2| 6.10|W       |                                         STAR B2III|
|HR 3614|          |09 04 09.31|-47 05 52.1| 3.75|        |                                         STAR K2III|
|HR 1856|          |05 30 09.50|-47 04 40.1| 5.46|W       |                                          STAR G3IV|
|HR 3046|          |07 48 20.30|-47 04 40.1| 4.71|        |                                         STAR K0III|
|HR 4570|          |11 56 43.90|-47 04 21.0| 6.26|        |                                           STAR F5V|
|HR 5882|          |15 51 31.51|-47 03 38.2| 6.01|        |                                         STAR K2III|
|HR 5606|Pi  Lup   |15 05 07.20|-47 03 04.0| 4.82|W       |                                          STAR B5IV|
|HR 5605|Pi  Lup   |15 05 07.20|-47 03 04.0| 4.72|W       |                                           STAR B5V|
|HR 4143|          |10 32 56.90|-47 00 11.9| 5.02|W       |                                         STAR K4III|
|HR 3244|          |08 13 36.19|-46 59 30.8| 5.13|W       |                                          STAR B2IV|
|HR 3179|          |08 05 20.40|-46 58 44.0| 6.19|        |                                           STAR B3V|
|HR 929 |          |03 02 55.90|-46 58 30.0| 5.82|        |                                         STAR K2III|
|HR 3390|          |08 33 30.41|-46 58 16.0| 6.24|        |                                         STAR K3III|
|HR 8425|Alp Gru   |22 08 13.99|-46 57 40.0| 1.74|W       |                                          STAR B7IV|
|HR 1418|          |04 27 06.00|-46 56 51.0| 6.10|        |                                           STAR F5V|
|HR 8662|          |22 46 43.70|-46 56 21.8| 6.56|W       |                                         STAR A9III|
|HR 3904|          |09 50 42.00|-46 56 03.8| 5.73|        |                                         STAR K0III|
|HR 6572|          |17 41 16.30|-46 55 18.8| 5.79|        |                                           STAR A0V|
|HR 5206|          |13 51 47.21|-46 53 57.1| 5.77|        |                                           STAR B2V|
|HR 1216|          |03 53 33.29|-46 53 37.0| 5.93|        |                                         STAR K2III|
|HR 8636|Bet Gru   |22 42 40.10|-46 53 04.9| 2.10|        |                                         STAR M5III|
|HR 5029|          |13 20 57.70|-46 52 50.2| 5.77|        |                                         STAR K1III|
|HR 3058|          |07 49 12.89|-46 51 28.1| 5.84|        |                                          STAR B1IV|
|HR 2761|          |07 14 45.91|-46 50 58.9| 5.72|        |                                            STAR A0|
|HR 2771|          |07 16 15.50|-46 46 27.8| 5.66|        |                                         STAR K4III|
|HR 2740|          |07 12 33.60|-46 45 33.8| 4.49|        |                                          STAR F0IV|
|HR 435 |          |01 29 30.41|-46 45 23.0| 6.31|        |                                         STAR M2III|
|HR 5742|          |15 29 24.31|-46 43 58.1| 5.24|        |                                         STAR K4III|
|HR 322 |Bet Phe   |01 06 04.99|-46 43 07.0| 3.31|W       |                                         STAR G8III|
|HR 229 |          |00 48 56.69|-46 41 52.1| 6.27|        |                                         STAR G8III|
|HR 3445|          |08 40 37.61|-46 38 56.0| 3.84|W       |                                           STAR F3I|
|HR 3232|          |08 12 00.00|-46 38 39.1| 5.76|        |                                           STAR F7I|
|HR 8966|The Phe   |23 39 28.01|-46 38 16.1| 6.09|W       |                                           STAR A8V|
|HR 3964|          |10 03 20.50|-46 38 10.0| 6.12|        |                                           STAR A0V|
|HR 6416|          |17 19 03.19|-46 38 02.0| 5.48|W       |                                           STAR G8V|
|HR 8177|          |21 24 20.81|-46 36 54.0| 6.31|        |                                            STAR A7|
|HR 2548|          |06 49 54.60|-46 36 52.9| 5.14|        |                                           STAR F5V|
|HR 3037|          |07 47 31.49|-46 36 31.0| 5.23|        |                                          STAR B1IV|
|HR 2008|          |05 46 27.41|-46 35 49.9| 5.31|W       |                                          STAR K0II|
|HR 7092|          |18 52 27.10|-46 35 43.1| 5.54|        |                                         STAR M0III|
|HR 5239|          |13 56 19.51|-46 35 33.0| 5.83|        |                                         STAR K1III|
|HR 7097|          |18 52 59.59|-46 35 08.9| 6.19|        |                                          STAR A1IV|
|HR 5457|          |14 39 10.99|-46 35 03.1| 6.07|        |                                           STAR F7V|
|HR 3658|          |09 11 33.19|-46 35 02.0| 5.79|        |                                         STAR B2III|
|HR 3912|          |09 51 40.80|-46 32 52.1| 4.58|        |                                           STAR G5I|
|HR 8657|          |22 45 40.70|-46 32 51.0| 5.51|        |                                         STAR K2III|
|HR 3527|          |08 50 33.50|-46 31 45.1| 5.10|W       |                                         STAR B0III|
|HR 807 |          |02 42 08.50|-46 31 27.8| 6.10|        |                                         STAR K1III|
|HR 1433|          |04 29 19.99|-46 30 55.1| 6.16|        |                                         STAR K1III|
|HR 6537|1Sig Ara  |17 35 39.60|-46 30 20.2| 4.59|        |                                           STAR A0V|
|HR 5121|          |13 37 23.71|-46 25 41.9| 5.90|        |                                           STAR B8V|
|HR 299 |          |01 02 49.20|-46 23 51.0| 5.36|        |                                         STAR G8III|
|HR 3055|          |07 49 14.30|-46 22 23.9| 4.11|W       |                                         STAR B0III|
|HR 3363|          |08 29 45.60|-46 19 54.8| 5.99|        |                                         STAR B5III|
|HR 555 |Psi Phe   |01 53 38.81|-46 18 09.0| 4.41|        |                                         STAR M4III|
|HR 3234|          |08 12 30.91|-46 15 51.1| 6.03|W       |                                           STAR B5V|
|HR 5444|          |14 36 19.01|-46 14 43.1| 5.55|W       |                                         STAR K3III|
|HR 6131|          |16 29 42.31|-46 14 35.9| 5.35|        |                                           STAR B1I|
|HR 7952|Zet Ind   |20 49 28.99|-46 13 36.8| 4.89|        |                                         STAR K5III|
|HR 3910|          |09 51 19.80|-46 11 38.0| 5.62|        |                                         STAR K2III|
|HR 3496|          |08 47 18.91|-46 09 20.2| 5.75|        |                                           STAR F2I|
|HR 4818|          |12 41 22.99|-46 08 44.2| 5.84|        |                                         STAR K4III|
|HR 5401|          |14 27 12.19|-46 08 03.8| 5.83|W       |                                            STAR A1|
|HR 5450|          |14 37 20.11|-46 08 02.0| 5.41|W       |                                         STAR G8III|
|HR 180 |Mu  Phe   |00 41 19.61|-46 05 06.0| 4.59|        |                                         STAR G8III|
|HR 6197|          |16 43 03.41|-46 04 14.2| 6.23|        |                                           STAR F5I|
|HR 5354|Iot Lup   |14 19 24.19|-46 03 28.1| 3.55|        |                                          STAR B2IV|
|HR 3730|          |09 22 24.00|-46 02 51.0| 5.75|        |                                         STAR G6III|
|HR 3487|          |08 46 01.70|-46 02 30.1| 3.91|        |                                         STAR A1III|
|HR 6513|          |17 31 49.10|-46 02 11.0| 6.03|W       |                                           STAR F8I|
|HR 6897|Alp Tel   |18 26 58.39|-45 58 05.9| 3.51|        |                                          STAR B3IV|
|HR 6783|Eps Tel   |18 11 13.80|-45 57 15.8| 4.53|W       |                                         STAR K0III|
|HR 8521|Pi 1Gru   |22 22 43.90|-45 56 52.1| 6.62|W       |                                               STAR|
|HR 8524|Pi 2Gru   |22 23 07.99|-45 55 43.0| 5.62|W       |                                         STAR F3III|
|HR 1870|          |05 31 36.10|-45 55 31.1| 5.86|        |                                         STAR K3III|
|HR 6934|Del1Tel   |18 31 45.41|-45 54 54.0| 4.96|        |                                          STAR B6IV|
|HR 3494|          |08 46 30.60|-45 54 46.1| 5.46|        |                                           STAR B3I|
|HR 4370|          |11 16 27.70|-45 52 48.0| 6.31|W       |                                           STAR F3V|
|HR 1291|          |04 08 33.91|-45 51 52.9| 6.59|W       |                                           STAR F2V|
|HR 6477|          |17 26 51.50|-45 50 37.0| 5.29|W       |                                           STAR B7V|
|HR 3250|          |08 14 23.90|-45 50 03.8| 5.83|W       |                                          STAR B2IV|
|HR 1984|          |05 43 41.09|-45 49 59.2| 6.39|        |                                           STAR A9V|
|HR 7065|          |18 49 27.41|-45 48 37.1| 5.81|        |                                         STAR G8III|
|HR 2626|          |06 58 41.81|-45 46 05.2| 6.22|        |                                           STAR A0V|
|HR 6759|          |18 08 30.10|-45 46 01.9| 6.15|W       |                                          STAR B7II|
|HR 6938|Del2Tel   |18 32 01.99|-45 45 25.9| 5.07|        |                                         STAR B3III|
|HR 25  |Eps Phe   |00 09 24.70|-45 44 51.0| 3.88|        |                                         STAR K0III|
|HR 3898|          |09 49 57.10|-45 43 58.1| 5.08|W       |                                         STAR B7III|
|HR 4652|          |12 14 02.59|-45 43 26.0| 5.31|W       |                                         STAR K3III|
|HR 4519|          |11 45 43.90|-45 41 24.0| 5.29|        |                                         STAR B6III|
|HR 5260|Ups2Cen   |14 01 43.39|-45 36 13.0| 4.34|        |                                          STAR F6II|
|HR 6640|          |17 51 44.50|-45 36 02.2| 6.11|        |                                         STAR G6III|
|HR 3121|          |07 57 51.79|-45 34 40.1| 5.17|        |                                         STAR K2III|
|HR 443 |          |01 31 39.10|-45 34 32.2| 6.17|I       |                                           STAR A2V|
|HR 3680|          |09 15 14.59|-45 33 20.2| 6.25|W       |                                           STAR B8V|
|HR 370 |Nu  Phe   |01 15 11.09|-45 31 53.0| 4.96|        |                                           STAR F8V|
|HR 6331|          |17 05 05.30|-45 30 06.1| 6.28|        |                                           STAR A2V|
|HR 8959|          |23 37 51.00|-45 29 33.0| 4.74|        |                                           STAR A2V|
|HR 7289|          |19 16 21.70|-45 27 59.0| 5.40|        |                                         STAR K3III|
|HR 3146|          |08 00 19.61|-45 27 24.8| 6.61|        |                                           STAR K1I|
|HR 6303|          |17 00 32.30|-45 27 06.1| 6.65|        |                                         STAR K4III|
|HR 2546|          |06 49 57.79|-45 27 00.0| 6.55|W       |                                         STAR K5III|
|HR 4636|          |12 11 02.90|-45 25 22.1| 6.61|W       |                                         STAR K0III|
|HR 3456|          |08 41 56.90|-45 24 38.9| 5.23|        |                                           STAR B6I|
|HR 5872|          |15 50 16.30|-45 24 06.1| 6.12|W       |                                         STAR A9III|
|HR 5396|Tau2Lup   |14 26 10.80|-45 22 45.8| 4.35|W       |                                          STAR F4IV|
|HR 6099|          |16 24 54.19|-45 20 57.1| 6.33|W       |                                           STAR A2V|
|HR 5412|          |14 30 08.59|-45 19 18.1| 5.50|W       |                                           STAR B8V|
|HR 3520|          |08 49 47.69|-45 18 29.2| 4.93|        |                                         STAR A2III|
