ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly)
6412,NGC 6412,Galaxy,Draco,11.8,2.3,17,29.6,+,75,42,
6416,NGC 6416,Open Cluster,Scorpius,5.7,18.0,17,44.4,-,32,21,
6425,NGC 6425,Open Cluster,Scorpius,7.2,8.0,17,46.9,-,31,32,
6426,NGC 6426,Globular Cluster,Ophiuchus,11.2,3.2,17,44.9,+,3,0,
6438,NGC 6438,Galaxy,Octans,13.0,2.6,18,26.0,-,85,25,
6439,NGC 6439,Planetary Nebula,Sagittarius,14.0,0.1,17,48.3,-,16,29,
6440,NGC 6440,Globular Cluster,Sagittarius,9.7,5.4,17,48.9,-,20,22,
6441,NGC 6441,Globular Cluster,Scorpius,7.4,7.8,17,50.2,-,37,3,
6445,NGC 6445,Planetary Nebula,Sagittarius,13.0,0.6,17,49.2,-,20,1,
6451,NGC 6451,Open Cluster,Scorpius,8.0,8.0,17,50.7,-,30,13,
6453,NGC 6453,Globular Cluster,Scorpius,9.9,3.5,17,50.9,-,34,36,
6454,NGC 6454,Galaxy,Draco,15.0,1.4,17,44.9,+,55,42,
6467,NGC 6467,Galaxy,Hercules,15.0,2.7,17,50.7,+,17,32,
6468,NGC 6468,Galaxy,Hercules,14.0,2.3,17,50.7,+,17,32,
6469,NGC 6469,Open Cluster,Sagittarius,8.0,12.0,17,52.9,-,22,21,
6475,NGC 6475,Open Cluster,Scorpius,3.3,80.0,17,53.9,-,34,49,
6478,NGC 6478,Galaxy,Draco,14.0,1.9,17,48.6,+,51,9,
6482,NGC 6482,Galaxy,Hercules,11.3,2.3,17,51.8,+,23,4,
6494,NGC 6494,Open Cluster,Sagittarius,5.5,27.0,17,56.8,-,19,1,
6496,NGC 6496,Globular Cluster,Scorpius,9.2,6.9,17,59.0,-,44,16,
6500,NGC 6500,Galaxy,Hercules,13.0,2.5,17,56.0,+,18,20,
6501,NGC 6501,Galaxy,Hercules,12.3,2.0,17,56.1,+,18,22,
6503,NGC 6503,Galaxy,Draco,10.2,6.2,17,49.4,+,70,9,
6504,NGC 6504,Galaxy,Hercules,13.0,2.5,17,56.0,+,33,12,
6507,NGC 6507,Open Cluster,Sagittarius,10.0,7.0,17,59.6,-,17,24,
6509,NGC 6509,Galaxy,Ophiuchus,13.0,2.3,17,59.4,+,6,17,
6514,NGC 6514,Cluster Nebulosity,Sagittarius,6.3,29.0,18,2.3,-,23,2,
6517,NGC 6517,Globular Cluster,Ophiuchus,10.3,4.3,18,1.8,-,8,58,
6520,NGC 6520,Open Cluster,Sagittarius,8.0,6.0,18,3.4,-,27,54,
6522,NGC 6522,Globular Cluster,Sagittarius,8.6,5.6,18,3.6,-,30,2,
6523,NGC 6523,Nebula,Sagittarius,5.8,90.0,18,3.8,-,24,23,
6528,NGC 6528,Globular Cluster,Sagittarius,9.5,3.7,18,4.8,-,30,3,
6530,NGC 6530,Open Cluster,Sagittarius,4.6,15.0,18,4.8,-,24,20,
6531,NGC 6531,Open Cluster,Sagittarius,5.9,13.0,18,4.6,-,22,30,
6535,NGC 6535,Globular Cluster,Serpens,10.6,3.6,18,3.8,-,0,18,
6537,NGC 6537,Planetary Nebula,Sagittarius,13.0,0.2,18,5.2,-,19,51,
6539,NGC 6539,Globular Cluster,Serpens,9.6,6.9,18,4.8,-,7,35,
6540,NGC 6540,Open Cluster,Sagittarius,15.0,1.0,18,6.3,-,27,49,
6541,NGC 6541,Globular Cluster,Corona_Australis,6.6,13.0,18,8.0,-,43,42,
6542,NGC 6542,Galaxy,Draco,14.0,1.5,17,59.7,+,61,22,
6543,NGC 6543,Planetary Nebula,Draco,9.0,5.8,17,58.6,+,66,38,
6544,NGC 6544,Globular Cluster,Sagittarius,8.3,8.9,18,7.3,-,25,0,
6546,NGC 6546,Open Cluster,Sagittarius,8.0,13.0,18,7.2,-,23,20,
6553,NGC 6553,Globular Cluster,Sagittarius,8.3,8.1,18,9.3,-,25,54,
6555,NGC 6555,Galaxy,Hercules,12.0,2.1,18,7.8,+,17,36,
6560,NGC 6560,Galaxy,Hercules,14.0,1.3,18,5.3,+,46,52,
6563,NGC 6563,Planetary Nebula,Sagittarius,14.0,0.8,18,12.0,-,33,52,
6565,NGC 6565,Planetary Nebula,Sagittarius,13.0,0.2,18,11.9,-,28,11,
6567,NGC 6567,Planetary Nebula,Sagittarius,12.0,0.1,18,13.7,-,19,5,
6568,NGC 6568,Open Cluster,Sagittarius,9.0,13.0,18,12.8,-,21,36,
6569,NGC 6569,Globular Cluster,Sagittarius,8.7,5.8,18,13.6,-,31,50,
6570,NGC 6570,Galaxy,Ophiuchus,13.0,1.8,18,11.1,+,14,6,
6572,NGC 6572,Planetary Nebula,Ophiuchus,9.0,0.1,18,12.1,+,6,51,
6574,NGC 6574,Galaxy,Hercules,12.0,1.4,18,11.9,+,14,59,
6578,NGC 6578,Planetary Nebula,Sagittarius,13.0,0.2,18,16.3,-,20,27,
6583,NGC 6583,Open Cluster,Sagittarius,10.0,3.0,18,15.8,-,22,8,
6584,NGC 6584,Globular Cluster,Telescopium,9.2,7.9,18,18.6,-,52,13,
6587,NGC 6587,Galaxy,Hercules,12.1,2.3,18,13.9,+,18,50,
6595,NGC 6595,Open Cluster,Sagittarius,7.0,11.0,18,17.0,-,19,53,
6603,NGC 6603,Open Cluster,Sagittarius,11.0,5.0,18,18.4,-,18,25,
6604,NGC 6604,Cluster Nebulosity,Serpens,6.5,60.0,18,18.1,-,12,14,
6611,NGC 6611,Cluster Nebulosity,Serpens,6.0,35.0,18,18.8,-,13,47,
6613,NGC 6613,Open Cluster,Sagittarius,6.9,9.0,18,19.9,-,17,8,
6615,NGC 6615,Galaxy,Ophiuchus,15.0,1.2,18,18.6,+,13,16,
6618,NGC 6618,Cluster Nebulosity,Sagittarius,6.0,46.0,18,20.8,-,16,11,
6620,NGC 6620,Planetary Nebula,Sagittarius,15.0,0.1,18,22.9,-,26,49,
6621,NGC 6621,Galaxy,Draco,13.1,2.5,18,12.9,+,68,22,
6624,NGC 6624,Globular Cluster,Sagittarius,8.3,5.9,18,23.7,-,30,22,
6626,NGC 6626,Globular Cluster,Sagittarius,6.9,11.0,18,24.5,-,24,52,
6627,NGC 6627,Galaxy,Hercules,13.2,1.5,18,22.7,+,15,42,
6629,NGC 6629,Planetary Nebula,Sagittarius,12.0,0.3,18,25.7,-,23,12,
6631,NGC 6631,Open Cluster,Scutum,12.0,5.0,18,27.2,-,12,2,
6632,NGC 6632,Galaxy,Hercules,13.0,3.1,18,25.0,+,27,32,
6633,NGC 6633,Open Cluster,Ophiuchus,4.6,27.0,18,27.7,+,6,34,
6635,NGC 6635,Galaxy,Hercules,15.0,1.3,18,27.6,+,14,49,
6637,NGC 6637,Globular Cluster,Sagittarius,7.7,7.1,18,31.4,-,32,21,
6638,NGC 6638,Globular Cluster,Sagittarius,9.2,5.0,18,30.9,-,25,30,
6642,NGC 6642,Globular Cluster,Sagittarius,8.8,4.5,18,31.9,-,23,29,
6643,NGC 6643,Galaxy,Draco,11.1,3.9,18,19.8,+,74,34,
6644,NGC 6644,Planetary Nebula,Sagittarius,12.0,0.1,18,32.6,-,25,8,
6645,NGC 6645,Open Cluster,Sagittarius,9.0,10.0,18,32.6,-,16,54,
6649,NGC 6649,Open Cluster,Scutum,8.9,6.0,18,33.5,-,10,24,
6651,NGC 6651,Galaxy,Draco,14.0,1.8,18,24.3,+,71,36,
6652,NGC 6652,Globular Cluster,Sagittarius,8.9,3.5,18,35.8,-,32,59,
6654,NGC 6654,Galaxy,Draco,11.6,3.0,18,24.1,+,73,11,
6656,NGC 6656,Globular Cluster,Sagittarius,5.1,24.0,18,36.4,-,23,54,
6658,NGC 6658,Galaxy,Hercules,12.9,1.9,18,33.9,+,22,53,
6661,NGC 6661,Galaxy,Hercules,11.9,2.0,18,34.6,+,22,55,
6664,NGC 6664,Open Cluster,Scutum,7.8,16.0,18,36.7,-,8,13,
