,name,alt_name,ra,dec,vmag,multiple,class,bii,lii,parallax,distance,absmag
7929,HR 1535,,04 51 09.29,+48 44 26.9,5.66,,STARG9III,2.7911,157.779,,355.29017178335664,-2.0929159699080646
7930,HR 7096,,18 48 16.10,+48 46 03.0,6.12,,STARA7III,20.5505,78.1957,,198.87584005922037,-0.3729101356757871
7931,HR 2914,,07 37 53.90,+48 46 25.0,5.92,,STARA5,27.4544,169.607,,267.7802772554363,-1.218892934429995
7932,HR 4098,,10 28 03.79,+48 47 04.9,6.44,W,STARF9V,54.9209,165.103,0.053,74.7208196327884,2.0727918642936656
7933,HR 4436,,11 31 10.20,+48 47 21.1,6.56,,STARG9III,63.3533,153.2,,551.8720434807469,-2.149191971508002
7934,HR 2487,57Psi6Aur,06 47 39.60,+48 47 21.8,5.22,,STARK0III,19.4735,167.255,,424.6827834597934,-2.9203232757567177
7935,HR 6363,,17 04 49.80,+48 48 15.1,6.09,,STARK1III,37.3047,75.1963,,390.60644035583397,-1.868696998496267
7936,HR 8216,,21 26 51.60,+48 50 06.0,5.31,,STARA6,-1.3892,92.0858,0.008,391.54427094492365,-2.6539043688803394
7937,HR 7154,,18 54 47.11,+48 51 34.9,5.77,,STARF3III,19.5636,78.6541,0.017,179.99800093660122,-0.5063384092103078
7938,HR 76  ,,00 20 05.21,+48 51 55.1,6.52,,STARA0V,-13.6836,117.634,,923.9557441844798,-3.308255848975165
7939,HR 6200,42Her,16 38 44.90,+48 55 41.9,4.9,,STARM2III,41.5827,75.6078,0.017,448.63325680484377,-3.3594573216190877
7940,HR 7844,45Ome1Cyg,20 30 03.50,+48 57 06.1,4.95,,STARB2IV,5.7436,86.0735,,1259.2910335796191,-5.550630555508018
7941,HR 673 ,,02 19 22.70,+48 57 19.1,6.37,,STARF4V,-11.4205,137.456,,196.5981782381684,-0.09789744579247373
7942,HR 2105,,06 01 43.10,+48 57 33.8,5.96,,STARK0,12.6001,164.005,,772.882411604553,-3.4805671211059064
7943,HR 6156,34Her,16 30 06.00,+48 57 38.9,6.45,,STARA1V,42.9912,75.8547,,365.64616333758005,-1.365305104033662
7944,HR 4690,3CVn,12 19 48.70,+48 59 03.1,5.29,,STARM0III,67.3049,136.463,,668.3532329859045,-3.8350302659007234
7945,HR 8860,8And,23 17 44.69,+49 00 55.1,4.85,,STARM2III,-11.0338,107.528,0.011,538.2118443846888,-3.8047662550828463
7946,HR 5112,24CVn,13 34 27.31,+49 00 58.0,4.7,,STARA5V,66.5869,104.994,0.034,180.29650508409142,-1.579936541615207
7947,HR 2054,,05 57 04.90,+49 01 45.8,6.47,,STARG8III,11.9574,163.583,,683.7659909792901,-2.7045374807137064
7948,HR 6090,,16 19 11.21,+49 02 17.2,5.91,,STAR,44.752,76.3133,,611.925661720678,-3.0234933307814167
7949,HR 1034,,03 28 03.10,+49 03 46.1,4.98,,STARB5V,-6.1852,147.523,,579.3186104744608,-3.8345874016575454
7950,HR 1001,,03 21 52.61,+49 04 14.9,5.93,W,STARF6V,-6.741,146.672,0.015,143.6179558331666,0.1439562951843989
7951,HR 7090,,18 47 40.01,+49 04 30.0,6.4,S,STARA1V,20.7396,78.4756,,471.324245227054,-1.966598903630489
7952,HR 1029,,03 25 57.41,+49 07 14.9,6.09,,STARB7V,-6.33,147.205,,540.8895152522742,-2.5755428152135202
