,name,alt_name,ra,dec,vmag,multiple,class,bii,lii,parallax,distance,absmag
785,HR 4323,,11 06 29.30,-58 40 31.1,6.02,W,STARK2II,1.4616,289.64,,1575.6346748653207,-4.967277648629688
786,HR 4144,,10 32 47.59,-58 40 00.8,6.0,,STARA2I,-0.5048,285.729,,12544.476065273899,-9.49226263606019
787,HR 3006,,07 42 10.20,-58 37 50.9,6.43,,STARB2V,-16.7152,270.909,,1244.8716705997,-4.0456229193155515
788,HR 5465,,14 41 55.70,-58 36 58.0,6.22,,STARF4V,1.2251,316.908,,145.86600075899884,0.40022962015765184
789,HR 6114,,16 28 15.19,-58 35 58.9,5.69,,STARB9II,-6.7759,328.119,,1062.3986244205907,-4.4414374985283445
790,HR 4095,,10 24 59.40,-58 34 35.0,5.95,,STARF2III,-0.9541,284.814,,348.8303504782047,-1.7630713215516876
791,HR 1597,,04 54 52.99,-58 32 49.9,6.12,,STARF3V,-37.9598,267.618,,99.37732410028075,1.1335635076710942
792,HR 2336,,06 23 46.90,-58 32 38.0,6.48,,STARA3V,-26.4157,267.591,,327.13779107033236,-1.093653584355998
793,HR 6215,,16 46 21.19,-58 30 13.0,5.74,,STARB2IV,-8.4788,329.771,,1294.271340067942,-4.820126672006555
794,HR 5486,,14 44 55.49,-58 28 40.1,6.11,,STARK0III,1.1874,317.32,,396.78391447338373,-1.882770288214025
795,HR 8909,,23 27 15.00,-58 28 34.0,5.63,,STARG8III,-55.3842,322.234,,313.6119016318475,-1.8519626794203754
796,HR 5371,,14 22 37.01,-58 27 33.8,4.92,W,STARG8III,2.3254,314.635,0.024,282.14219523972434,-2.3323402054917253
797,HR 4342,,11 10 54.70,-58 27 19.1,6.88,,STARB7III,1.8871,290.087,,964.9596973287614,-3.0425458745260023
798,HR 7986,BetInd,20 54 48.60,-58 27 15.1,3.65,W,STARK1II,-38.8525,338.158,-0.005,611.925661720678,-5.2834933307814165
799,HR 4895,,12 54 22.01,-58 25 50.2,6.58,,STARF7I,4.4391,303.316,,3197.6115460502097,-5.944128517104689
800,HR 5122,,13 38 07.61,-58 24 54.0,6.42,W,STARK1III,3.9031,309.029,,472.69040245959616,-1.9528839222280006
801,HR 3691,,09 15 17.50,-58 23 19.0,6.02,,STARB7IV,-6.5672,277.651,,607.3675562330008,-2.897257947416499
802,HR 3793,,09 30 23.40,-58 21 42.1,5.88,W,STARM2III,-5.1502,279.04,,913.6032988714885,-3.9237882953533116
803,HR 6219,,16 47 19.51,-58 20 29.0,5.58,,STARB0I,-8.4733,329.979,,2886.3396256382425,-6.721737158497179
804,HR 468 ,,01 36 44.81,-58 16 14.9,6.18,,STARM3III,-57.8616,291.735,,823.6272164068722,-3.3986534462867155
805,HR 3568,,08 54 54.00,-58 14 24.0,6.38,,STARB5V,-8.4748,275.751,,869.7503405256571,-3.316973037275684
806,HR 8848,GamTuc,23 17 25.80,-58 14 08.9,3.99,,STARF1III,-54.8187,324.3,0.043,77.06908735754286,-0.44440108077863094
807,HR 3012,,07 42 53.30,-58 13 48.0,6.21,,STARK0III,-16.4601,270.572,,701.411564940046,-3.019864611464506
808,HR 3415,,08 35 15.41,-58 13 30.0,5.26,,STARB3V,-10.5171,274.144,,962.1132085460808,-4.656130884898866
809,HR 4147,,10 33 25.30,-58 11 25.1,6.14,,STARB7I,-0.0519,285.559,,7090.356036893943,-8.113340217506405
810,HR 460 ,,01 35 15.19,-58 08 21.8,6.01,,STARF2V,-58.0496,292.006,0.011,132.4224026378893,0.40019268328124014
811,HR 4009,,10 11 46.51,-58 03 38.2,5.72,,STARB2IV,-1.4803,283.082,,1560.5568310867052,-5.246397945359007
812,HR 6438,,17 22 55.01,-58 00 37.1,5.88,W,STARG8I,-12.0709,333.053,,785.9189824027021,-3.596888892353814
813,HR 3414,,08 35 19.61,-58 00 33.1,4.86,,STARK0III,-10.3841,273.971,0.017,229.52595193323108,-1.9441589862769293
814,HR 2369,,06 27 04.01,-58 00 07.9,5.82,,STARK3III,-25.8972,267.079,,531.1993122102954,-2.8062875202084374
815,HR 3863,,09 40 42.50,-57 59 01.0,5.32,W,STARA3IV,-3.9546,279.794,0.031,219.63392437516592,-1.3884971076481207
816,HR 7434,,19 38 25.90,-57 58 59.9,6.18,,STARK0III,-28.8618,339.279,0.015,507.2416449410907,-2.3460745112931676
817,HR 3293,,08 21 12.00,-57 58 23.2,5.97,,STARB1III,-11.9124,272.869,,2296.875899275503,-5.8356876539989955
818,HR 4091,,10 23 50.90,-57 57 14.0,6.35,,STARK4III,-0.5072,284.355,,898.502417898406,-3.4175962507337143
819,HR 5994,Iot2Nor,16 09 18.60,-57 56 03.8,5.57,,STARB9V,-4.552,326.809,,289.40228722016093,-1.737509795683744
820,HR 7586,,19 56 57.70,-57 55 32.2,6.53,,STARK4II,-31.3098,339.538,,1006.6554867195103,-3.484404324881215
821,HR 6040,,16 15 49.70,-57 54 43.9,5.63,,STARA3III,-5.1304,327.455,,414.4299589544109,-2.457255714118955
822,HR 6251,,16 54 00.50,-57 54 33.8,5.94,,STARM1III,-8.8885,330.879,,595.1758717100755,-2.93322658349243
823,HR 6062,,16 18 51.89,-57 53 58.9,6.49,,STARF8I,-5.4035,327.754,,3076.9469594068055,-5.950600049590426
824,HR 8362,PiInd,21 56 13.99,-57 53 57.8,6.19,,STARA0,-46.687,335.357,,476.83680949871547,-2.2018488673136956
825,HR 8593,,22 35 52.90,-57 53 01.0,6.23,,STARA5V,-51.1671,331.145,,226.02659577070088,-0.5407977204468057
826,HR 3622,,09 04 48.00,-57 51 09.0,6.44,W,STARA8III,-7.2266,276.311,,1101.8796543821668,-3.7706708206195856
827,HR 8531,,22 24 56.40,-57 47 49.9,5.32,W,STARG3IV,-50.0393,332.602,0.058,66.71228834058527,1.1989708104049015
828,HR 5961,Iot1Nor,16 03 31.90,-57 46 31.1,4.63,W,STARA7IV,-3.9183,326.345,0.023,140.2220024493213,-1.1040808239521285
829,HR 6120,,16 29 45.00,-57 45 20.9,6.06,,STARG8I,-6.3413,328.873,,2695.507253695218,-6.093202524332028
830,HR 6320,,17 04 24.70,-57 42 43.9,5.73,,STARB5IV,-9.872,331.888,,685.2024741536163,-3.4490946123118107
831,HR 4526,,11 47 19.10,-57 41 47.0,5.41,,STARK5III,4.1124,294.424,0.004,809.3210364692839,-4.13060414520873
832,HR 350 ,,01 10 07.39,-57 41 39.8,6.41,,STARG6II,-59.2562,298.048,,468.61548519701347,-1.944083177861467
833,HR 4706,,12 22 49.30,-57 40 34.0,5.39,,STARB9V,4.9826,299.099,,336.5906890579168,-2.2455104906604513
834,HR 4110,,10 27 24.41,-57 38 20.0,4.66,,STARA9I,0.0108,284.591,-0.012,5017.79042610956,-8.842562592700002
835,HR 3536,,08 51 36.60,-57 38 01.0,5.59,,STARB8III,-8.4307,274.997,,769.2367398517014,-3.8403000929506135
836,HR 5124,,13 38 49.10,-57 37 23.2,6.01,W,STARG5I,4.6651,309.263,,2218.7508686879005,-5.720542702173395
837,HR 3693,,09 15 34.99,-57 34 41.2,6.32,,STARG8II,-5.9804,277.088,,1212.477240509745,-4.098367975902235
838,HR 4159,,10 35 35.30,-57 33 28.1,4.45,,STARK3II,0.6398,285.492,0.026,1177.4598472820267,-5.904730530592033
839,HR 3455,,08 40 43.61,-57 32 43.1,6.34,W,STARA3V,-9.5292,274.022,0.022,226.812501875606,-0.43833494567995857
840,HR 6586,,17 44 55.80,-57 32 43.1,6.01,W,STARG8III,-14.3654,334.991,,441.9463112427119,-2.2168475667990695
841,HR 3696,,09 16 12.19,-57 32 29.0,4.34,,STARM1III,-5.8949,277.119,0.025,488.25805044479245,-4.103247063536548
842,HR 7691,,20 11 07.20,-57 31 26.0,6.37,W,STARB7V,-33.1953,340.036,,452.36668196549425,-1.9074530523171314
843,HR 6908,,18 29 56.69,-57 31 23.2,5.76,W,STARK0III,-19.8719,337.574,,364.0138143941087,-2.0455893276036505
844,HR 8509,,22 20 36.19,-57 30 36.0,6.34,,STARK3III,-49.7136,333.47,,721.5849064095606,-2.9514372018573667
845,HR 4592,,12 01 28.99,-57 30 13.0,6.16,,STARA0V,4.7175,296.238,,355.6776201713429,-1.5952826975641727
846,HR 1674,ZetDor,05 05 30.60,-57 28 22.1,4.72,,STARF7V,-36.7158,266.034,0.085,37.91634244328312,1.825867815176088
847,HR 4226,,10 47 38.71,-57 28 04.1,6.36,,STARM1II,1.4921,286.871,,3469.748698905547,-6.341490107915785
848,HR 191 ,EtaPhe,00 43 21.19,-57 27 47.2,4.36,W,STARA0IV,-59.6313,305.082,0.046,246.3416749978258,-2.5976894503958716
849,HR 8620,,22 40 48.89,-57 25 19.9,5.97,,STARK4III,-51.9709,331.071,,675.2720035137089,-3.1773937221567152
850,HR 4556,,11 54 11.50,-57 24 36.0,6.06,,STARA0III,4.6061,295.256,,1953.0322017791698,-5.39354702017636
851,HR 3957,,10 01 58.01,-57 20 58.9,6.2,,STARK1II,-1.6716,281.603,,716.8272037299371,-3.0770723926287147
852,HR 977 ,,03 12 33.19,-57 19 18.1,5.74,,STAR,-50.9034,273.296,,1370.4049483072326,-4.944244590631717
853,HR 3105,,07 54 53.21,-57 18 11.2,5.63,,STARK3III,-14.6149,270.452,0.009,330.4522570386235,-1.9655436125660932
854,HR 3864,,09 41 02.21,-57 15 34.9,5.8,,STARK0III,-3.3811,279.349,,353.365522965462,-1.941120870784716
855,HR 4173,,10 38 02.50,-57 15 23.0,5.91,,STARB3IV,1.065,285.631,,1221.5594670304172,-4.524573069091401
856,HR 4250,,10 52 30.91,-57 14 26.2,5.25,,STARB9I,1.9905,287.356,,9883.526596882466,-9.72455967652484
857,HR 472 ,AlpEri,01 37 42.89,-57 14 12.1,0.46,,STARB3V,-58.792,290.841,0.026,139.44265827153544,-5.261978266868512
858,HR 3883,,09 45 40.49,-57 11 08.2,6.46,,STARB8III,-2.9156,279.777,,869.7503405256571,-3.236973037275682
859,HR 4898,Mu1Cru,12 54 35.59,-57 10 40.1,4.03,W,STARB2IV,5.6914,303.362,,414.4299589544109,-4.057255714118956
860,HR 4899,Mu2Cru,12 54 36.79,-57 10 05.9,5.17,W,STARB5V,5.7008,303.365,,364.4205337398004,-2.638014199334716
861,HR 2072,,05 52 20.30,-57 09 22.0,5.94,,STARF7IV,-30.4104,265.481,,381.9161331348026,-1.9698400224692518
862,HR 4763,GamCru,12 31 09.89,-57 06 47.9,1.63,W,STARM3III,5.6497,300.169,,88.55725704510492,-3.1061207816397136
863,HR 1245,,03 58 42.89,-57 06 09.0,6.05,,STARF2IV,-45.5322,268.503,,205.77689444613338,-0.5169830431454274
864,HR 5316,,14 14 57.00,-57 05 08.9,5.07,W,STARB4V,3.96,314.125,,413.3794394133351,-3.0117443598671763
865,HR 4764,GamCru,12 31 16.70,-57 04 52.0,6.42,W,STARA3V,5.683,300.182,,,
866,HR 1405,,04 24 12.19,-57 04 17.0,6.29,W,STARG4V,-42.2672,266.908,0.042,88.3413807413655,1.559179085855095
867,HR 3803,,09 31 13.30,-57 02 03.8,3.13,,STARK5III,-4.1078,278.209,0.022,238.94240124331236,-3.761466119030402
868,HR 295 ,OmePhe,01 02 01.80,-57 00 09.0,6.11,,STARG8III,-60.0662,300.042,,406.6787751834431,-1.9362575344934596
869,HR 4551,,11 52 10.10,-56 59 16.1,5.57,W,STARA2V,4.956,294.892,,354.1328748068636,-2.1758312249300324
870,HR 3953,,10 00 34.39,-56 56 48.1,6.52,W,STARK0III,-1.4635,281.209,,511.2168929421966,-2.023025982308466
871,HR 6505,,17 31 22.99,-56 55 14.2,5.95,,STARB7II,-12.464,334.615,,1309.8649706711703,-4.636132640435594
872,HR 6384,,17 14 13.20,-56 53 17.9,6.09,,STARM1II,-10.4764,333.349,,1456.0552575764348,-4.725889284243463
873,HR 5421,,14 32 32.90,-56 53 16.1,6.93,,STARF5I,3.3078,316.444,,2434.0028186352342,-5.00160538409024
874,HR 7022,,18 45 23.71,-56 52 54.1,6.22,,STARK3III,-21.6592,338.924,,656.2502569358579,-2.8653474322476162
875,HR 2389,,06 29 28.51,-56 51 10.1,5.22,,STARK0III,-25.3625,265.894,0.01,303.40128157871754,-2.190087054656156
876,HR 8901,,23 25 19.39,-56 50 57.1,5.59,,STARK0III,-56.5634,324.29,,297.0458813270687,-1.774117675343911
877,HR 4908,,12 55 57.00,-56 50 10.0,5.32,W,STARO9I,6.0303,303.552,,3792.51601973397,-7.57463711969644
878,HR 8387,EpsInd,22 03 21.60,-56 47 10.0,4.69,,STARK4V,-48.0446,336.193,0.285,11.868863817216937,4.317954266023286
879,HR 4398,,11 23 08.11,-56 46 45.8,5.79,,STARA4,4.0361,291.02,,701.411564940046,-3.4398646114645075
880,HR 3498,,08 46 42.50,-56 46 10.9,4.49,,STARB3V,-8.4141,273.896,,605.1138732785183,-4.4191855499805826
881,HR 5151,,13 42 56.09,-56 46 05.2,6.0,,STARB0III,5.3977,309.977,,3261.563776971214,-6.567129375914277
882,HR 4221,,10 46 57.50,-56 45 25.9,5.23,,STARB8III,2.0806,286.462,,526.0586737050345,-3.3751709284230067
883,HR 2683,,07 04 18.29,-56 44 58.9,5.17,,STARA0,-20.729,267.106,-0.015,279.24347405575463,-2.0599151620323735
884,HR 7790,AlpPav,20 25 38.90,-56 44 06.0,1.94,W,STARB2IV,-35.1931,340.904,,178.8138035620183,-4.322005205952291
885,HR 3031,,07 45 35.59,-56 43 21.0,6.12,W,STARF0II,-15.4793,269.323,,1294.271340067942,-4.440126672006556
886,HR 5515,,14 49 06.89,-56 40 04.1,6.23,,STARK1III,2.5796,318.607,,278.2904246562469,-0.9924913175039176
887,HR 3549,,08 53 03.79,-56 38 57.8,6.03,,STARA0V,-7.6576,274.35,,310.921237080192,-1.4332519349464876
888,HR 6442,,17 23 06.89,-56 31 31.1,5.8,,STARG8III,-11.2924,334.345,,341.88299548964505,-1.8693875023938
889,HR 4754,,12 29 53.90,-56 31 28.9,5.8,,STARM1III,6.2222,299.947,,550.9398271910834,-2.905520842299679
890,HR 183 ,XiPhe,00 41 46.39,-56 30 06.1,5.7,W,STARA0,-60.5755,305.647,,223.24187385155466,-1.0438782962427942
891,HR 4848,,12 46 22.70,-56 29 20.0,4.65,W,STARB3V,6.376,302.229,,384.6183699258507,-3.2751501146307067
892,HR 3056,,07 48 19.20,-56 28 16.0,6.33,W,STARK0III,-15.0314,269.263,,2264.9748451188984,-5.445316915438026
893,HR 5461,,14 40 32.81,-56 26 26.9,6.3,,STARK0II,3.2847,317.632,,776.5628040407652,-3.150882923924776
894,HR 3895,,09 48 40.01,-56 24 42.8,6.06,,STARK0III,-2.0594,279.595,,336.5906890579168,-1.5755104906604513
895,HR 3062,,07 49 06.70,-56 24 38.2,5.59,W,STARG5II,-14.9064,269.258,,1393.8306739193222,-5.131050088863564
896,HR 4749,,12 28 33.41,-56 24 28.1,6.15,W,STARK0III,6.3227,299.751,0.021,139.20459995609107,0.431732067070536
897,HR 2638,,06 58 36.19,-56 23 40.9,6.45,,STARF2II,-21.3692,266.488,,300.60495640287684,-0.9399806849915349
898,HR 5358,,14 20 19.51,-56 23 12.1,4.33,,STARB6I,4.3789,315.053,,1226.1517958538398,-6.112721192758942
899,HR 6462,GamAra,17 25 23.59,-56 22 39.0,3.34,W,STARB1I,-11.4783,334.645,,1113.1616986249876,-6.892791274143729
900,HR 4702,,12 21 57.50,-56 22 28.9,5.92,,STARK4III,6.2624,298.834,,2380.703486840302,-5.963526540132245
901,HR 2320,NuPic,06 22 55.80,-56 22 12.0,5.61,,STARA0,-26.1561,265.18,,189.8465527922709,-0.7820135784381597
902,HR 7510,NuTel,19 48 01.20,-56 21 45.0,5.35,,STARA7III,-30.0075,341.269,,166.83190675044574,-0.7613955672548496
903,HR 4576,,11 58 15.19,-56 19 01.9,5.44,,STARB8III,5.7921,295.566,,931.8753648489183,-4.406789154162897
904,HR 5266,,14 03 26.21,-56 12 49.0,5.92,,STARK2III,5.2628,312.869,,516.0702178751922,-2.6435439845023527
905,HR 486 ,,01 39 47.40,-56 11 53.2,5.87,W,STARK0V,-59.6607,289.597,0.152,26.57078433377771,3.747978128060753
906,HR 487 ,,01 39 47.81,-56 11 40.9,5.76,W,STARK5V,-59.6635,289.593,0.152,26.57078433377771,3.6379781280607526
907,HR 5979,,16 07 24.00,-56 11 29.0,6.16,,STARF2II,-3.0914,327.797,,4407.518617528667,-7.060970777259396
908,HR 4834,,12 43 09.10,-56 10 34.0,6.0,,STARB7V,6.677,301.771,,412.85617430015367,-2.0789939194620697
909,HR 2042,GamPic,05 49 49.70,-56 10 00.1,4.51,,STARK1III,-30.6889,264.308,0.018,176.77852449708476,-1.727147523438882
910,HR 1801,KapPic,05 22 22.10,-56 08 03.8,6.11,,STARB8V,-34.51,264.19,,671.103657813007,-3.02394802960281
911,HR 4061,,10 18 37.61,-56 06 36.0,5.81,,STARF6V,0.6565,282.758,,117.3646555225338,0.46231335797258044
912,HR 3218,,08 09 33.60,-56 05 08.2,5.66,,STARA3,-12.2629,270.375,,382.81264987925044,-2.254931402080775
913,HR 4074,,10 20 54.79,-56 02 35.2,4.5,W,STARB3III,0.887,282.989,0.008,1393.8306739193222,-6.221050088863564
914,HR 6819,,18 17 07.49,-56 01 23.9,5.33,,STARB3III,-17.6945,338.386,,1120.8122944918262,-4.91766443098474
915,HR 6285,ZetAra,16 58 37.20,-55 59 25.1,3.13,,STARK3III,-8.2049,332.801,0.044,486.0750785352032,-5.3035167750693155
916,HR 4832,,12 42 49.61,-55 56 49.9,6.08,,STARB9V,6.9043,301.718,,366.0565406252765,-1.7377408557299017
917,HR 688 ,,02 19 54.29,-55 56 40.9,5.81,W,STARK5III,-57.0869,280.101,,583.4640030359953,-3.02007033648216
918,HR 2941,,07 36 01.70,-55 53 15.0,6.39,,STARK1III,-16.3214,267.948,,645.8542132616265,-2.66067248532097
919,HR 8381,,22 00 24.10,-55 52 58.1,6.01,,STARB9IV,-48.0743,337.676,,644.5778215358131,-3.0363767917152824
920,HR 3629,,09 06 34.01,-55 48 11.9,6.11,,STARB2IV,-5.6825,274.934,,1140.4069150249,-4.17529921026906
921,HR 5027,,13 20 48.29,-55 48 02.2,6.02,,STARB0I,6.8345,307.08,,6153.893918813611,-7.925750027910333
922,HR 3471,,08 42 20.90,-55 46 27.1,6.29,,STARK2III,-8.286,272.725,,316.9644098125572,-1.215052502102112
923,HR 8271,,21 40 33.60,-55 44 15.0,6.33,,STARK0II,-45.5565,339.435,,657.5733421312932,-2.75972099346329
924,HR 2634,,06 58 39.60,-55 43 45.8,6.27,,STARK2III,-21.1633,265.809,,289.40228722016093,-1.0375097956837447
925,HR 7233,,19 08 52.10,-55 43 13.1,6.49,,STARK1III,-24.5108,341.046,,380.13563834163335,-1.4096929366707496
926,HR 4180,,10 39 18.41,-55 36 11.9,4.28,W,STARG2I,2.5936,284.977,0.023,840.6092208688696,-5.342970747943241
927,HR 5488,,14 45 10.90,-55 36 06.8,6.1,W,STARB2III,3.7775,318.572,,1418.0712073787886,-4.658490195826314
928,HR 3679,,09 14 18.00,-55 34 10.9,5.27,,STARG8II,-4.7237,275.504,0.015,621.2502432326121,-3.6963328588844924
929,HR 6019,ZetNor,16 13 22.61,-55 32 26.9,5.81,,STARF2III,-3.1848,328.856,,229.68758992755025,-0.9956876539989947
930,HR 2526,,06 47 18.70,-55 32 24.0,5.61,,STARK5III,-22.6458,265.125,,678.0797873121027,-3.546403994045118
931,HR 6461,BetAra,17 25 18.00,-55 31 48.0,2.85,,STARK3I,-11.0129,335.367,0.034,645.8542132616265,-6.20067248532097
932,HR 3732,,09 21 49.99,-55 30 54.0,5.63,,STARA3IV,-3.9226,276.211,,247.08816492206168,-1.3342597198850283
933,HR 3161,,08 01 31.49,-55 27 18.0,6.28,,STARB4V,-12.9231,269.235,,791.641693439615,-3.2126432957486024
934,HR 7388,,19 29 52.61,-55 26 29.0,6.13,,STARK0III,-27.3741,341.968,,333.8345728732051,-1.4876565573204124
935,HR 6614,,17 48 38.11,-55 24 06.1,6.11,,STARA9IV,-13.8032,337.188,,173.7647190714552,-0.0898080128075458
936,HR 3920,,09 53 00.00,-55 22 23.9,6.48,,STARB1IV,-0.8704,279.41,,2740.8098966144653,-5.709394568951623
937,HR 5637,,15 11 16.01,-55 20 46.0,5.54,W,STARG2I,2.2734,321.961,,1842.691399418765,-5.787263044105245
938,HR 338 ,ZetPhe,01 08 23.11,-55 14 44.9,3.92,W,STARB6V,-61.7142,297.833,0.013,279.72245085516414,-3.313636623799299
939,HR 3868,,09 41 47.81,-55 12 51.1,6.0,,STARB4V,-1.7695,278.083,,1524.0952228837448,-4.915060509168324
940,HR 3368,,08 29 36.31,-55 11 28.0,6.36,W,STARG0V,-9.4026,271.173,,669.725621554664,-2.769484569841107
941,HR 3717,,09 19 32.59,-55 11 12.1,6.28,,STARB5V,-3.9221,275.747,,1874.4619407880539,-5.084383134501277
942,HR 6487,,17 28 38.71,-55 10 10.9,5.94,W,STARG8II,-11.2231,335.936,,997.4201152817167,-4.0543906126128455
943,HR 4682,,12 18 59.69,-55 08 35.2,5.0,W,STARM1III,7.4347,298.267,0.01,444.9609518378191,-3.241609502708638
944,HR 6073,,16 20 25.20,-55 08 24.0,5.77,,STARK0III,-3.5945,329.855,,374.8923881576108,-2.0995331128211863
945,HR 7393,MuTel,19 30 34.49,-55 06 36.0,6.3,,STARF5V,-27.4214,342.354,,117.70349249264575,0.9460532529968821
946,HR 5873,,15 51 06.79,-55 03 20.9,5.73,W,STARB2II,-0.7337,326.79,,3664.6784010912515,-7.090179342689712
947,HR 7758,,20 20 32.30,-55 03 02.9,6.27,,STARM0III,-34.5415,342.989,,994.3792002961018,-3.717760157355883
948,HR 1465,AlpDor,04 33 59.81,-55 02 42.0,3.27,W,STARA0III,-41.4152,263.833,0.018,175.73080694888006,-2.9542395165000617
949,HR 4063,,10 19 36.79,-55 01 45.8,4.57,,STARK3II,1.6362,282.281,-0.008,1853.1612369154623,-6.769566036843528
950,HR 7674,,20 07 35.09,-55 00 59.0,6.26,,STARF8V,-32.6857,343.02,,78.59189824027021,1.783111107646187
951,HR 3349,,08 27 27.41,-55 00 42.1,6.53,W,STARA0V,-9.5533,270.846,,517.7085360271768,-2.040426628646368
952,HR 3734,KapVel,09 22 06.79,-55 00 38.9,2.5,,STARB2IV,-3.5375,275.882,0.013,572.2041713984586,-6.28775509755182
953,HR 5426,,14 33 32.40,-54 59 53.9,5.87,,STARF6IV,5.0001,317.298,,256.0097156178347,-1.1712822359176185
954,HR 8368,DelInd,21 57 55.10,-54 59 33.0,4.4,W,STARF0IV,-48.1227,339.108,0.02,184.79114883689599,-1.9334058272950703
955,HR 7549,,19 52 39.00,-54 58 36.1,6.5,W,STARA2V,-30.5452,342.93,,275.70277066536045,-0.7022056527746248
956,HR 4038,,10 15 16.61,-54 58 27.1,6.16,,STARB2IV,1.3376,281.733,,1462.5846533503202,-4.665605060673473
957,HR 7548,,19 52 37.61,-54 58 16.0,5.74,W,STARG8III,-30.5414,342.936,,354.1328748068636,-2.0058312249300325
958,HR 2212,DelPic,06 10 17.90,-54 58 07.0,4.81,,STARB3III,-27.6836,263.303,,1299.427799590125,-5.758760768509088
959,HR 3570,,08 55 11.90,-54 57 56.2,5.71,,STARF6V,-6.3544,273.234,,79.12575878144624,1.2184105613016927
960,HR 4885,,12 53 03.91,-54 57 09.0,5.93,,STARK2III,7.9186,303.168,,447.40243854200463,-2.323491734324403
961,HR 1912,,05 33 44.40,-54 54 07.9,6.43,W,STARF8V,-32.9052,262.702,,172.7523186955092,0.24288057389597384
962,HR 4107,,10 26 49.01,-54 52 39.0,5.58,,STARK3II,2.3193,283.073,,1753.5289123501152,-5.639564654824698
963,HR 148 ,,00 35 33.41,-54 49 18.8,6.06,,STARK0IV,-62.1549,307.831,,235.3220618305349,-0.7983132245353373
964,HR 8055,MuInd,21 05 14.21,-54 43 37.9,5.16,,STARK2III,-40.9618,342.579,0.023,413.3794394133351,-2.9217443598671764
965,HR 3485,DelVel,08 44 42.19,-54 42 29.9,1.96,W,STARA1V,-7.3706,272.078,0.051,79.74483562276806,-2.5485128358775677
966,HR 5236,,13 56 33.00,-54 42 15.8,6.0,W,STARG6IV,6.9759,312.322,,126.9584965734221,0.4816911454174537
967,HR 2524,,06 46 41.50,-54 41 40.9,6.46,W,STARG6III,-22.5054,264.217,0.004,414.4299589544109,-1.627255714118955
968,HR 5278,,14 05 46.51,-54 40 09.8,6.17,,STARA5III,6.6517,313.625,,420.84693896402763,-1.950620863382726
969,HR 8188,GamInd,21 26 15.41,-54 39 38.2,6.12,,STARF1III,-43.9366,341.749,,213.73288184608214,-0.5293567078199688
970,HR 6024,KapNor,16 13 28.70,-54 37 50.2,4.94,W,STARG8III,-2.5338,329.493,0.022,438.3822280875288,-3.269264698184884
971,HR 5311,,14 13 39.89,-54 37 32.9,6.11,,STARB5V,6.3508,314.734,,874.4138812255264,-3.598585216870841
972,HR 6297,,17 00 06.19,-54 35 48.8,5.65,W,STARA5IV,-7.5237,334.046,,173.67219259697626,-0.5486514362638175
973,HR 5946,,16 01 06.41,-54 34 40.1,6.13,,STARA5V,-1.2915,328.201,,418.68597907204287,-1.9794420875514556
974,HR 3940,PhiVel,09 56 51.79,-54 34 04.1,3.54,W,STARB5I,0.1053,279.346,,1591.006720473763,-7.468360070635505
975,HR 5141,,13 41 44.69,-54 33 36.0,5.01,W,STARB8V,7.5954,310.25,0.003,270.6691931096443,-2.152194141359841
976,HR 802 ,ZetHor,02 40 39.60,-54 33 00.0,5.21,,STARF4IV,-56.1113,274.431,0.031,159.64580406124395,-0.8057875427520402
977,HR 3157,,08 01 22.90,-54 30 54.0,6.1,W,STARB2IV,-12.4777,268.387,,1622.6685457568228,-4.9511490888118335
978,HR 6549,PiAra,17 38 05.59,-54 30 01.1,5.25,,STARA5IV,-12.0425,337.238,0.057,134.8310780062511,-0.39895003410487817
979,HR 3700,,09 17 42.31,-54 29 43.1,6.33,,STARK3III,-3.6272,275.067,,807.3177665770332,-3.2052225503612526
980,HR 4390,PiCen,11 21 00.41,-54 29 28.0,3.89,W,STARB5V,6.0864,289.956,0.011,321.33633270652354,-3.644799164668118
981,HR 7329,EtaTel,19 22 51.10,-54 25 25.0,5.05,,STARA0V,-26.2072,342.9,0.02,157.25958423197753,-0.9330856156491665
982,HR 7459,,19 40 18.31,-54 25 03.0,6.26,,STARK0III,-28.7132,343.355,,423.57971129496286,-1.8746757500518676
983,HR 1667,,05 05 00.60,-54 24 27.0,6.27,,STARM2III,-37.0696,262.225,,867.4371747263867,-3.4211901512759724
984,HR 2892,,07 30 30.91,-54 23 57.8,5.96,,STARM1III,-16.4302,266.197,,510.41686650566726,-2.5796250851222746
985,HR 162 ,,00 37 18.10,-54 23 39.1,6.41,,STARK0II,-62.611,307.406,,460.67284985469126,-1.9069630874654315
986,HR 3382,,08 31 29.59,-54 23 39.1,6.34,,STARK3III,-8.7218,270.671,,504.88603358687527,-2.175966785938858
987,HR 3088,,07 52 29.69,-54 22 01.9,5.7,,STARB1IV,-13.5387,267.615,,1411.9323709832095,-5.049069476453557
988,HR 2023,,05 47 13.01,-54 21 38.9,6.18,,STARK3III,-30.9305,262.18,,1128.5687809588974,-4.082640162131538
989,HR 7370,,19 27 48.10,-54 19 31.1,5.69,W,STARK4III,-26.8991,343.152,,632.0860032889949,-3.31388086777822
990,HR 1168,,03 44 33.79,-54 16 26.0,6.3,W,STARK1III,-48.4602,265.799,,254.6107554232017,-0.7293837271908457
991,HR 4460,,11 34 45.70,-54 15 51.1,4.62,,STARB9V,6.941,291.793,,426.34820614002797,-3.5288222001461875
