ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly)
NGC 7576,NGC 7576,Galaxy,Aquarius,13.0,1.5,23,17.4,-,4,44,
NGC 7578,NGC 7578,Galaxy,Pegasus,14.0,1.6,23,17.2,+,18,41,
NGC 7580,NGC 7580,Galaxy,Pegasus,15.0,0.9,23,17.6,+,14,0,
NGC 7582,NGC 7582,Galaxy,Grus,10.6,4.6,23,18.4,-,42,22,
NGC 7585,NGC 7585,Galaxy,Aquarius,11.7,2.3,23,18.0,-,4,39,
NGC 7587,NGC 7587,Galaxy,Pegasus,15.0,1.4,23,18.0,+,9,41,
NGC 7590,NGC 7590,Galaxy,Grus,11.6,2.7,23,18.9,-,42,14,
NGC 7592,NGC 7592,Galaxy,Aquarius,14.0,1.4,23,18.4,-,4,25,
NGC 7599,NGC 7599,Galaxy,Grus,11.4,4.4,23,19.3,-,42,15,
NGC 7600,NGC 7600,Galaxy,Aquarius,13.0,2.4,23,18.9,-,7,35,
NGC 7601,NGC 7601,Galaxy,Pegasus,15.0,1.5,23,18.8,+,9,14,
NGC 7603,NGC 7603,Galaxy,Pisces,14.0,1.7,23,19.0,+,0,15,
NGC 7606,NGC 7606,Galaxy,Aquarius,10.8,5.8,23,19.1,-,8,29,
NGC 7609,NGC 7609,Galaxy,Pegasus,15.0,1.5,23,19.5,+,9,29,
NGC 7610,NGC 7610,Galaxy,Pegasus,15.0,3.0,23,19.6,+,10,10,
NGC 7611,NGC 7611,Galaxy,Pisces,12.6,1.5,23,19.6,+,8,4,
NGC 7615,NGC 7615,Galaxy,Pegasus,16.0,1.2,23,19.9,+,8,24,
NGC 7617,NGC 7617,Galaxy,Pisces,13.8,1.0,23,20.2,+,8,10,
NGC 7619,NGC 7619,Galaxy,Pegasus,11.1,2.9,23,20.2,+,8,12,
NGC 7620,NGC 7620,Galaxy,Pegasus,14.0,1.3,23,20.1,+,24,13,
NGC 7623,NGC 7623,Galaxy,Pegasus,12.4,1.9,23,20.5,+,8,24,
NGC 7624,NGC 7624,Galaxy,Pegasus,13.4,1.1,23,20.4,+,27,19,
NGC 7625,NGC 7625,Galaxy,Pegasus,12.1,1.8,23,20.5,+,17,14,
NGC 7626,NGC 7626,Galaxy,Pegasus,11.2,2.5,23,20.7,+,8,13,
NGC 7631,NGC 7631,Galaxy,Pegasus,14.0,1.9,23,21.4,+,8,13,
NGC 7634,NGC 7634,Galaxy,Pegasus,14.0,1.5,23,21.6,+,8,52,
NGC 7640,NGC 7640,Galaxy,Andromeda,10.9,10.0,23,22.1,+,40,51,
NGC 7648,NGC 7648,Galaxy,Pegasus,14.0,1.9,23,23.8,+,9,39,
NGC 7649,NGC 7649,Galaxy,Pegasus,13.7,1.6,23,24.3,+,14,38,
NGC 7662,NGC 7662,Planetary Nebula,Andromeda,9.0,2.2,23,25.9,+,42,33,
NGC 7671,NGC 7671,Galaxy,Pegasus,12.7,1.7,23,27.3,+,12,28,
NGC 7672,NGC 7672,Galaxy,Pegasus,15.0,1.0,23,27.5,+,12,23,
